Species,Question,Outliers ,Id,,,,,,,,,,,,,,,,,,,,,,
Antrozous pallidus,PS,x,DaJhXwN6qank1rN,,,,,,,,,,,,,,,,,,,,,,
Antrozous pallidus,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Artibeus hirsutus,PS,x,GbaxteI1ntVv5RE,,,,,,,,,,,,,,,,,,,,,,
Artibeus hirsutus,PS,x,4AWV3vZPdJc9vE0,,,,,,,,,,,,,,,,,,,,,,
Artibeus hirsutus,PS,x,XwifiV4liynpTUM,,,,,,,,,,,,,,,,,,,,,,
Bauerus dubiaquercus,PS,x,C7vRyRMQgycbE9a,,,,,,,,,,,,,,,,,,,,,,
Carollia subrufa,PS,x,XwifiV4liynpTUM,,,,,,,,,,,,,,,,,,,,,,
Carollia subrufa,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Centurio senex,PS,x,EA6eaCxrJPUmow5,,,,,,,,,,,,,,,,,,,,,,
Centurio senex,PS,x,LsgX2odo0mnYaP5,,,,,,,,,,,,,,,,,,,,,,
Centurio senex,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Centurio senex,PS,x,xrpNBpZuCR6uzGO,,,,,,,,,,,,,,,,,,,,,,
Chrotopterus auritus,PS,x,FDFyaiOK1meiZh3,,,,,,,,,,,,,,,,,,,,,,
Chrotopterus auritus,PS,x,LGf03kcKcQgso3t,,,,,,,,,,,,,,,,,,,,,,
Chrotopterus auritus,PS,x,lP9lkuUgw1KscQC,,,,,,,,,,,,,,,,,,,,,,
Choeroniscus godmani,PS,x,GKKyGHWtpfIG3Wu,,,,,,,,,,,,,,,,,,,,,,
Choeroniscus godmani,PS,x,OSxvs7oEKAPZPv6,,,,,,,,,,,,,,,,,,,,,,
Choeronycteris mexicana,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Choeronycteris mexicana,PS,x,GbaxteI1ntVv5RE,,,,,,,,,,,,,,,,,,,,,,
Choeronycteris mexicana,PS,x,DaJhXwN6qank1rN,,,,,,,,,,,,,,,,,,,,,,
Chiroderma salvini,PS,x,lP9lkuUgw1KscQC,,,,,,,,,,,,,,,,,,,,,,
Chiroderma villosum,PS,x,Y7qmHSA8qC1zXha,,,,,,,,,,,,,,,,,,,,,,
Corynorhinus mexicanus,PS,x,DaJhXwN6qank1rN,,,,,,,,,,,,,,,,,,,,,,
Corynorhinus mexicanus,PS,x,xrpNBpZuCR6uzGO,,,,,,,,,,,,,,,,,,,,,,
Cynomops mexicanus,PS,x,4AWV3vZPdJc9vE0,,,,,,,,,,,,,,,,,,,,,,
Dermanura azteca,PS,x,XwifiV4liynpTUM,,,,,,,,,,,,,,,,,,,,,,
Dermanura azteca,PS,x,GtYTUkO0Hz0or23,,,,,,,,,,,,,,,,,,,,,,
Diclidurus albus,PS,x,LsgX2odo0mnYaP5,,,,,,,,,,,,,,,,,,,,,,
Diclidurus albus,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Diaemus youngi,PS,x,LsgX2odo0mnYaP5,,,,,,,,,,,,,,,,,,,,,,
Uroderma magnirostrum,PS,x,GKKyGHWtpfIG3Wu,,,,,,,,,,,,,,,,,,,,,,
Uroderma magnirostrum,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Uroderma magnirostrum,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Uroderma magnirostrum,PS,x,pZSZ2S7XtDpnG1c,,,,,,,,,,,,,,,,,,,,,,
Eumops perotis,PS,x,4AWV3vZPdJc9vE0,,,,,,,,,,,,,,,,,,,,,,
Eumops perotis,PS,x,Oug0a3aapOqUZMY,,,,,,,,,,,,,,,,,,,,,,
Eumops perotis,PS,x,Wlx2mlaEC2phUPz,,,,,,,,,,,,,,,,,,,,,,
Eumops underwoodi,PS,x,3YYLpKBrhddOTqp,,,,,,,,,,,,,,,,,,,,,,
Eumops underwoodi,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Gardnerycteris keenani,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Glossophaga leachii,PS,x,EA6eaCxrJPUmow5,,,,,,,,,,,,,,,,,,,,,,
Glossophaga leachii,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Glossophaga leachii,PS,x,pZSZ2S7XtDpnG1c,,,,,,,,,,,,,,,,,,,,,,
Hylonycteris underwoodi,PS,x,EA6eaCxrJPUmow5,,,,,,,,,,,,,,,,,,,,,,
Idionycteris phyllotis,PS,x,qexQ7smFsz1oQIt,,,,,,,,,,,,,,,,,,,,,,
Idionycteris phyllotis,PS,x,LGf03kcKcQgso3t,,,,,,,,,,,,,,,,,,,,,,
Idionycteris phyllotis,PS,x,pZSZ2S7XtDpnG1c,,,,,,,,,,,,,,,,,,,,,,
Idionycteris phyllotis,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Lasiurus borealis,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Lasiurus borealis,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Lasiurus cinereus,PS,x,DaJhXwN6qank1rN,,,,,,,,,,,,,,,,,,,,,,
Lasiurus ega,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Lasiurus frantzii,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Lasiurus frantzii,PS,x,LGf03kcKcQgso3t,,,,,,,,,,,,,,,,,,,,,,
