"id","submitdate","lastpage","startlanguage","seed","token","startdate","datestamp","cntry","region","NorthSpp","TropSpp","MXspp","spp","sppCode","range[Z]","range[A]","range[B]","range[C]","range[D]","range[E]","range[F]","range[G]","range[H]","rangeSize","popSizeNS","density","popSize[sz_min]","popSize[sz_mean]","popSize[sz_max]","popSizeConf[conf]","confTbl","popTrendNS","popTrend[tr_min]","popTrend[tr_mean]","popTrend[tr_max]","popTrendConf[conf]","confTbl2","threatDesc","threatsT1","devN[sub1]","devN[sub2]","devN[sub3]","NSscope1","devScope[sub1_min]","devScope[sub1_mean]","devScope[sub1_max]","devScope[sub1_conf]","devScope[sub2_min]","devScope[sub2_mean]","devScope[sub2_max]","devScope[sub2_conf]","devScope[sub3_min]","devScope[sub3_mean]","devScope[sub3_max]","devScope[sub3_conf]","nsSev1","devSev[sub1_min]","devSev[sub1_mean]","devSev[sub1_max]","devSev[sub1_conf]","devSev[sub2_min]","devSev[sub2_mean]","devSev[sub2_max]","devSev[sub2_conf]","devSev[sub3_min]","devSev[sub3_mean]","devSev[sub3_max]","devSev[sub3_conf]","agN[sub1]","agN[sub2]","agN[sub3]","agN[sub4]","r117q0","agScope[sub1_min]","agScope[sub1_mean]","agScope[sub1_max]","agScope[sub1_conf]","agScope[sub2_min]","agScope[sub2_mean]","agScope[sub2_max]","agScope[sub2_conf]","agScope[sub3_min]","agScope[sub3_mean]","agScope[sub3_max]","agScope[sub3_conf]","agScope[sub4_min]","agScope[sub4_mean]","agScope[sub4_max]","agScope[sub4_conf]","r212q0","agSev[sub1_min]","agSev[sub1_mean]","agSev[sub1_max]","agSev[sub1_conf]","agSev[sub2_min]","agSev[sub2_mean]","agSev[sub2_max]","agSev[sub2_conf]","agSev[sub3_min]","agSev[sub3_mean]","agSev[sub3_max]","agSev[sub3_conf]","agSev[sub4_min]","agSev[sub4_mean]","agSev[sub4_max]","agSev[sub4_conf]","enN[sub1]","enN[sub2]","enN[sub3]","r553q0","enScope[sub1_min]","enScope[sub1_mean]","enScope[sub1_max]","enScope[sub1_conf]","enScope[sub2_min]","enScope[sub2_mean]","enScope[sub2_max]","enScope[sub2_conf]","enScope[sub3_min]","enScope[sub3_mean]","enScope[sub3_max]","enScope[sub3_conf]","r954q0","enSev[sub1_min]","enSev[sub1_mean]","enSev[sub1_max]","enSev[sub1_conf]","enSev[sub2_min]","enSev[sub2_mean]","enSev[sub2_max]","enSev[sub2_conf]","enSev[sub3_min]","enSev[sub3_mean]","enSev[sub3_max]","enSev[sub3_conf]","trN[sub1]","trN[sub2]","trN[sub3]","trN[sub4]","r878q0","trScope[sub1_min]","trScope[sub1_mean]","trScope[sub1_max]","trScope[sub1_conf]","trScope[sub2_min]","trScope[sub2_mean]","trScope[sub2_max]","trScope[sub2_conf]","trScope[sub3_min]","trScope[sub3_mean]","trScope[sub3_max]","trScope[sub3_conf]","trScope[sub4_min]","trScope[sub4_mean]","trScope[sub4_max]","trScope[sub4_conf]","r308q0","trSev[sub1_min]","trSev[sub1_mean]","trSev[sub1_max]","trSev[sub1_conf]","trSev[sub2_min]","trSev[sub2_mean]","trSev[sub2_max]","trSev[sub2_conf]","trSev[sub3_min]","trSev[sub3_mean]","trSev[sub3_max]","trSev[sub3_conf]","trSev[sub4_min]","trSev[sub4_mean]","trSev[sub4_max]","trSev[sub4_conf]","biN[sub1]","biN[sub2]","biN[sub3]","biN[sub4]","r499q0","biScope[sub1_min]","biScope[sub1_mean]","biScope[sub1_max]","biScope[sub1_conf]","biScope[sub2_min]","biScope[sub2_mean]","biScope[sub2_max]","biScope[sub2_conf]","biScope[sub3_min]","biScope[sub3_mean]","biScope[sub3_max]","biScope[sub3_conf]","biScope[sub4_min]","biScope[sub4_mean]","biScope[sub4_max]","biScope[sub4_conf]","r114q0","biSev[sub1_min]","biSev[sub1_mean]","biSev[sub1_max]","biSev[sub1_conf]","biSev[sub2_min]","biSev[sub2_mean]","biSev[sub2_max]","biSev[sub2_conf]","biSev[sub3_min]","biSev[sub3_mean]","biSev[sub3_max]","biSev[sub3_conf]","biSev[sub4_min]","biSev[sub4_mean]","biSev[sub4_max]","biSev[sub4_conf]","huN[sub1]","huN[sub2]","huN[sub3]","r866q0","huScope[sub1_min]","huScope[sub1_mean]","huScope[sub1_max]","huScope[sub1_conf]","huScope[sub2_min]","huScope[sub2_mean]","huScope[sub2_max]","huScope[sub2_conf]","huScope[sub3_min]","huScope[sub3_mean]","huScope[sub3_max]","huScope[sub3_conf]","r515q0","huSev[sub1_min]","huSev[sub1_mean]","huSev[sub1_max]","huSev[sub1_conf]","huSev[sub2_min]","huSev[sub2_mean]","huSev[sub2_max]","huSev[sub2_conf]","huSev[sub3_min]","huSev[sub3_mean]","huSev[sub3_max]","huSev[sub3_conf]","naN[sub1]","naN[sub2]","naN[sub3]","r484q0","naScope[sub1_min]","naScope[sub1_mean]","naScope[sub1_max]","naScope[sub1_conf]","naScope[sub2_min]","naScope[sub2_mean]","naScope[sub2_max]","naScope[sub2_conf]","naScope[sub3_min]","naScope[sub3_mean]","naScope[sub3_max]","naScope[sub3_conf]","r959q0","naSev[sub1_min]","naSev[sub1_mean]","naSev[sub1_max]","naSev[sub1_conf]","naSev[sub2_min]","naSev[sub2_mean]","naSev[sub2_max]","naSev[sub2_conf]","naSev[sub3_min]","naSev[sub3_mean]","naSev[sub3_max]","naSev[sub3_conf]","inN[sub1]","inN[sub2]","inN[sub3]","inN[sub4]","inN[sub5]","inN[sub6]","r259q0","inScope[sub1_min]","inScope[sub1_mean]","inScope[sub1_max]","inScope[sub1_conf]","inScope[sub2_min]","inScope[sub2_mean]","inScope[sub2_max]","inScope[sub2_conf]","inScope[sub3_min]","inScope[sub3_mean]","inScope[sub3_max]","inScope[sub3_conf]","inScope[sub4_min]","inScope[sub4_mean]","inScope[sub4_max]","inScope[sub4_conf]","inScope[sub5_min]","inScope[sub5_mean]","inScope[sub5_max]","inScope[sub5_conf]","inScope[sub6_min]","inScope[sub6_mean]","inScope[sub6_max]","inScope[sub6_conf]","r223q0","inSev[sub1_min]","inSev[sub1_mean]","inSev[sub1_max]","inSev[sub1_conf]","inSev[sub2_min]","inSev[sub2_mean]","inSev[sub2_max]","inSev[sub2_conf]","inSev[sub3_min]","inSev[sub3_mean]","inSev[sub3_max]","inSev[sub3_conf]","inSev[sub4_min]","inSev[sub4_mean]","inSev[sub4_max]","inSev[sub4_conf]","inSev[sub5_min]","inSev[sub5_mean]","inSev[sub5_max]","inSev[sub5_conf]","inSev[sub6_min]","inSev[sub6_mean]","inSev[sub6_max]","inSev[sub6_conf]","poN[sub1]","poN[sub2]","poN[sub3]","poN[sub4]","poN[sub6]","poN[sub5]","r144q0","poScope[sub1_min]","poScope[sub1_mean]","poScope[sub1_max]","poScope[sub1_conf]","poScope[sub2_min]","poScope[sub2_mean]","poScope[sub2_max]","poScope[sub2_conf]","poScope[sub3_min]","poScope[sub3_mean]","poScope[sub3_max]","poScope[sub3_conf]","poScope[sub4_min]","poScope[sub4_mean]","poScope[sub4_max]","poScope[sub4_conf]","poScope[sub5_min]","poScope[sub5_mean]","poScope[sub5_max]","poScope[sub5_conf]","poScope[sub6_min]","poScope[sub6_mean]","poScope[sub6_max]","poScope[sub6_conf]","r261q0","poSev[sub1_min]","poSev[sub1_mean]","poSev[sub1_max]","poSev[sub1_conf]","poSev[sub2_min]","poSev[sub2_mean]","poSev[sub2_max]","poSev[sub2_conf]","poSev[sub3_min]","poSev[sub3_mean]","poSev[sub3_max]","poSev[sub3_conf]","poSev[sub4_min]","poSev[sub4_mean]","poSev[sub4_max]","poSev[sub4_conf]","poSev[sub6_min]","poSev[sub6_mean]","poSev[sub6_max]","poSev[sub6_conf]","poSev[sub5_min]","poSev[sub5_mean]","poSev[sub5_max]","poSev[sub5_conf]","geoN[sub1]","geoN[sub2]","geoN[sub3]","r324q0","geoScope[sub1_min]","geoScope[sub1_mean]","geoScope[sub1_max]","geoScope[sub1_conf]","geoScope[sub2_min]","geoScope[sub2_mean]","geoScope[sub2_max]","geoScope[sub2_conf]","geoScope[sub3_min]","geoScope[sub3_mean]","geoScope[sub3_max]","geoScope[sub3_conf]","r172q0","geoSev[sub1_min]","geoSev[sub1_mean]","geoSev[sub1_max]","geoSev[sub1_conf]","geoSev[sub2_min]","geoSev[sub2_mean]","geoSev[sub2_max]","geoSev[sub2_conf]","geoSev[sub3_min]","geoSev[sub3_mean]","geoSev[sub3_max]","geoSev[sub3_conf]","cliN[sub1]","cliN[sub2]","cliN[sub3]","cliN[sub4]","cliN[sub5]","r0q0","cliScope[sub1_min]","cliScope[sub1_mean]","cliScope[sub1_max]","cliScope[sub1_conf]","cliScope[sub2_min]","cliScope[sub2_mean]","cliScope[sub2_max]","cliScope[sub2_conf]","cliScope[sub3_min]","cliScope[sub3_mean]","cliScope[sub3_max]","cliScope[sub3_conf]","cliScope[sub4_min]","cliScope[sub4_mean]","cliScope[sub4_max]","cliScope[sub4_conf]","cliScope[sub5_min]","cliScope[sub5_mean]","cliScope[sub5_max]","cliScope[sub5_conf]","r485q0","cliSev[sub1_min]","cliSev[sub1_mean]","cliSev[sub1_max]","cliSev[sub1_conf]","cliSev[sub2_min]","cliSev[sub2_mean]","cliSev[sub2_max]","cliSev[sub2_conf]","cliSev[sub3_min]","cliSev[sub3_mean]","cliSev[sub3_max]","cliSev[sub3_conf]","cliSev[sub4_min]","cliSev[sub4_mean]","cliSev[sub4_max]","cliSev[sub4_conf]","cliSev[sub5_min]","cliSev[sub5_mean]","cliSev[sub5_max]","cliSev[sub5_conf]","otherYN","otherNum","otherT[other1]","otherT[other2]","otherT[other3]","otherT[other4]","otherT[other5]","otherT[other6]","otherT[other7]","otherT[other8]","otherT[other9]","otherT[other10]","NSscope2","otherSco[user1_min]","otherSco[user1_mean]","otherSco[user1_max]","otherSco[user1_conf]","otherSco[user2_min]","otherSco[user2_mean]","otherSco[user2_max]","otherSco[user2_conf]","otherSco[user3_min]","otherSco[user3_mean]","otherSco[user3_max]","otherSco[user3_conf]","otherSco[user4_min]","otherSco[user4_mean]","otherSco[user4_max]","otherSco[user4_conf]","otherSco[user5_min]","otherSco[user5_mean]","otherSco[user5_max]","otherSco[user5_conf]","otherSco[user6_min]","otherSco[user6_mean]","otherSco[user6_max]","otherSco[user6_conf]","otherSco[user7_min]","otherSco[user7_mean]","otherSco[user7_max]","otherSco[user7_conf]","otherSco[user8_min]","otherSco[user8_mean]","otherSco[user8_max]","otherSco[user8_conf]","otherSco[user9_min]","otherSco[user9_mean]","otherSco[user9_max]","otherSco[user9_conf]","otherSco[user10_min]","otherSco[user10_mean]","otherSco[user10_max]","otherSco[user10_conf]","NSsevO","otherSev[user1_min]","otherSev[user1_mean]","otherSev[user1_max]","otherSev[user1_conf]","otherSev[user2_min]","otherSev[user2_mean]","otherSev[user2_max]","otherSev[user2_conf]","otherSev[user3_min]","otherSev[user3_mean]","otherSev[user3_max]","otherSev[user3_conf]","otherSev[user4_min]","otherSev[user4_mean]","otherSev[user4_max]","otherSev[user4_conf]","otherSev[user5_min]","otherSev[user5_mean]","otherSev[user5_max]","otherSev[user5_conf]","otherSev[user6_min]","otherSev[user6_mean]","otherSev[user6_max]","otherSev[user6_conf]","otherSev[user7_min]","otherSev[user7_mean]","otherSev[user7_max]","otherSev[user7_conf]","otherSev[user8_min]","otherSev[user8_mean]","otherSev[user8_max]","otherSev[user8_conf]","otherSev[user9_min]","otherSev[user9_mean]","otherSev[user9_max]","otherSev[user9_conf]","otherSev[user10_min]","otherSev[user10_mean]","otherSev[user10_max]","otherSev[user10_conf]","comments","next"
"4","","0","en","1177098565","BCItest","2021-05-07 20:33:17","2021-06-26 14:42:55","Mexico","Neártica","Antrozous pallidus","","","Antrozous pallidus","ANPAL","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NAN","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","","1","en","1877505200","BCItest","2021-05-10 21:07:57","2021-05-10 21:09:06","Mexico","Neártica","Antrozous pallidus","","","Species  Antrozous pallidus","ANPAL","No","No","No","No","No","No","No","No","N/A","NAN","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","","0","en","724406864","D9xPerhZEotNhz9","2021-05-14 15:12:02","2021-05-14 15:12:02","Mexico","","","","","Species None","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","0","es-MX","1410358189","VjicatYZo7An0yS","2021-05-15 18:30:28","2021-05-15 18:30:28","","","","","","Species None","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","","0","es-MX","1884826677","pqzntm0RbShXkp1","2021-05-16 03:28:01","2021-05-16 03:28:07","","","","","","Species None","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","0","es-MX","1012517161","pqzntm0RbShXkp1","2021-05-17 04:53:08","2021-05-17 04:53:08","","","","","","Species None","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","","2","es-MX","1612692312","75tn1HWwAKSXmK6","2021-05-17 16:34:07","2021-05-17 20:57:07","","Neotropical","","Dermanura azteca","","Species Dermanura azteca","DEAZT","No","No","No","No","Yes","No","No","No","N/A","30","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","2021-08-07 06:20:00","18","es-MX","","FDFyaiOK1meiZh3","2021-05-17 17:58:00","2021-08-07 06:20:00","Mexico","Neotropical","","Centronycteris centralis","","Centronycteris centralis","CECEN","N/A","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","2.8333333333333","","","1000","3000","5000","60","","","30","50","70","60","","","","N/A","Yes","Yes","","5","15","30","50","","","","","","","","","","10","20","40","55","","","","","","","","","N/A","Yes","N/A","Yes","","30","50","70","70","","","","","40","50","80","70","","","","","","10","20","40","65","","","","","15","25","50","65","","","","","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","N/A","Yes","","","","","","","","","","20","30","50","50","","","","","","","","","","","","","","10","20","40","50","","","","","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","Yes","Yes","","10","25","45","50","","","","","","","","","","15","25","40","50","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","Yes","N/A","Yes","","20","45","70","60","10","30","50","50","","","","","15","35","55","50","","","","","","15","25","40","55","10","20","40","50","","","","","10","20","40","50","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","","0","es-MX","489377501","w2mn6211Pa0gvvs","2021-05-17 19:38:56","2021-05-17 19:39:20","","","","","","Species None","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","","2","es-MX","2046496337","0q0vAusLS3as4u3","2021-05-17 19:53:17","2021-05-17 19:59:54","","Neotropical","","Rhogeessa mira","","Species Rhogeessa mira","RHMIR","No","Yes","No","No","No","No","No","No","N/A","0.5","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
