group,question_sub
1,cntry
1,usspp
1,caspp
1,mxspp
2,range_z
2,range_a
2,range_b
2,range_c
2,range_d
2,range_e
2,range_f
2,range_g
2,range_h
3,popsize_sz_min
3,popsize_sz_mean
3,popsize_sz_max
3,popsizeconf
3,popsizeconf_conf
4,poptrend_tr_min
4,poptrend_tr_mean
4,poptrend_tr_max
4,poptrendconf
4,poptrendconf_conf
8,devn_sub1
8,devn_sub2
8,devn_sub3
8,devscope_sub1_min
8,devscope_sub1_mean
8,devscope_sub1_max
8,devscope_sub1_conf
8,devscope_sub2_min
8,devscope_sub2_mean
8,devscope_sub2_max
8,devscope_sub2_conf
8,devscope_sub3_min
8,devscope_sub3_mean
8,devscope_sub3_max
8,devscope_sub3_conf
8,devsev_sub1_min
8,devsev_sub1_mean
8,devsev_sub1_max
8,devsev_sub1_conf
8,devsev_sub2_min
8,devsev_sub2_mean
8,devsev_sub2_max
8,devsev_sub2_conf
8,devsev_sub3_min
8,devsev_sub3_mean
8,devsev_sub3_max
8,devsev_sub3_conf
22,agn_sub1
22,agn_sub2
22,agn_sub3
22,agn_sub4
22,agscope_sub1_min
22,agscope_sub1_mean
22,agscope_sub1_max
22,agscope_sub1_conf
22,agscope_sub2_min
22,agscope_sub2_mean
22,agscope_sub2_max
22,agscope_sub2_conf
22,agscope_sub3_min
22,agscope_sub3_mean
22,agscope_sub3_max
22,agscope_sub3_conf
22,agscope_sub4_min
22,agscope_sub4_mean
22,agscope_sub4_max
22,agscope_sub4_conf
22,agsev_sub1_min
22,agsev_sub1_mean
22,agsev_sub1_max
22,agsev_sub1_conf
22,agsev_sub2_min
22,agsev_sub2_mean
22,agsev_sub2_max
22,agsev_sub2_conf
22,agsev_sub3_min
22,agsev_sub3_mean
22,agsev_sub3_max
22,agsev_sub3_conf
22,agsev_sub4_min
22,agsev_sub4_mean
22,agsev_sub4_max
22,agsev_sub4_conf
23,enn_sub1
23,enn_sub2
23,enn_sub3
23,enscope_sub1_min
23,enscope_sub1_mean
23,enscope_sub1_max
23,enscope_sub1_conf
23,enscope_sub2_min
23,enscope_sub2_mean
23,enscope_sub2_max
23,enscope_sub2_conf
23,enscope_sub3_min
23,enscope_sub3_mean
23,enscope_sub3_max
23,enscope_sub3_conf
23,ensev_sub1_min
23,ensev_sub1_mean
23,ensev_sub1_max
23,ensev_sub1_conf
23,ensev_sub2_min
23,ensev_sub2_mean
23,ensev_sub2_max
23,ensev_sub2_conf
23,ensev_sub3_min
23,ensev_sub3_mean
23,ensev_sub3_max
23,ensev_sub3_conf
24,trn_sub1
24,trn_sub2
24,trn_sub3
24,trn_sub4
24,trscope_sub1_min
24,trscope_sub1_mean
24,trscope_sub1_max
24,trscope_sub1_conf
24,trscope_sub2_min
24,trscope_sub2_mean
24,trscope_sub2_max
24,trscope_sub2_conf
24,trscope_sub3_min
24,trscope_sub3_mean
24,trscope_sub3_max
24,trscope_sub3_conf
24,trscope_sub4_min
24,trscope_sub4_mean
24,trscope_sub4_max
24,trscope_sub4_conf
24,trsev_sub1_min
24,trsev_sub1_mean
24,trsev_sub1_max
24,trsev_sub1_conf
24,trsev_sub2_min
24,trsev_sub2_mean
24,trsev_sub2_max
24,trsev_sub2_conf
24,trsev_sub3_min
24,trsev_sub3_mean
24,trsev_sub3_max
24,trsev_sub3_conf
24,trsev_sub4_min
24,trsev_sub4_mean
24,trsev_sub4_max
24,trsev_sub4_conf
25,bin_sub1
