species,range
Eptesicus fuscus,">2,500,000"
Myotis californicus,"200,000-2,500,000"
Lasiurus borealis,">2,500,000"
Myotis lucifugus,">2,500,000"
Myotis septentrionalis,">2,500,000"
Euderma maculatum,"20,000-200,000"
Perimyotis subflavus,"200,000-2,500,000"
Lasiurus cinereus,">2,500,000"
Myotis leibii,"200,000-2,500,000"
Lasionycteris noctivagans,">2,500,000"
Myotis volans,"200,000-2,500,000"
Myotis yumanensis,"200,000-2,500,000"
Myotis thysanodes,"20,000-200,000"
Myotis evotis,"200,000-2,500,000"
Myotis ciliolabrum,"20,000-200,000"
Antrozous pallidus,"1,000-5,000"
Corynorhinus townsendii,"20,000-200,000"
