species,question,Q1,Median,Q3
EPTESICUS_FUSCUS,ag_sub1,9.979196926663379e-6,8.793266364129292e-5,3.727533873427407e-4
EPTESICUS_FUSCUS,ag_sub2,1.586691392520306e-5,5.811766357361168e-4,0.005332892907328783
EPTESICUS_FUSCUS,ag_sub3,2.0517737941290628e-5,2.5123117470111505e-5,3.0372732761604215e-5
EPTESICUS_FUSCUS,ag_sub4,2.0306042479244753e-5,2.4833726094834334e-5,2.999083617997332e-5
EPTESICUS_FUSCUS,bi_sub1,1.2925737161889726e-5,7.809426665257068e-4,0.009410542870383898
EPTESICUS_FUSCUS,bi_sub2,2.0311547999349928e-5,2.487423700148382e-5,3.0075662223289598e-5
EPTESICUS_FUSCUS,bi_sub3,0.0014376369497917257,0.011155125533598842,0.043498680741398066
EPTESICUS_FUSCUS,bi_sub4,2.028108901080513e-5,2.49411465537929e-5,3.026756953030582e-5
EPTESICUS_FUSCUS,cli_sub1,2.044654377706982e-5,2.512400354050518e-5,3.0467562841584823e-5
EPTESICUS_FUSCUS,cli_sub2,2.039693503332385e-5,2.4962407636223597e-5,3.0164857210703788e-5
EPTESICUS_FUSCUS,cli_sub3,1.9897172520573036e-4,0.007702345725035463,0.07074669364250152
EPTESICUS_FUSCUS,cli_sub4,2.0398374644455467e-5,2.5026911156939548e-5,3.0309553824010246e-5
EPTESICUS_FUSCUS,cli_sub5,2.0294494854298268e-5,2.4811065334619337e-5,2.9954404013127334e-5
EPTESICUS_FUSCUS,dev_sub1,3.697187057600536e-5,0.002332929196577686,0.0285436978363669
EPTESICUS_FUSCUS,dev_sub2,1.010018035403591e-5,9.8896915464529e-5,4.440609642563791e-4
EPTESICUS_FUSCUS,dev_sub3,2.2037756566163412e-5,8.731988369156114e-4,0.00835318060693635
EPTESICUS_FUSCUS,en_sub1,2.0460615533150617e-5,2.4997516621212825e-5,3.016184455807337e-5
EPTESICUS_FUSCUS,en_sub2,1.4069369977597064e-5,9.735925133474003e-4,0.012624495033936922
EPTESICUS_FUSCUS,en_sub3,0.0022897081182550274,0.018678060312669838,0.07407217759047702
EPTESICUS_FUSCUS,geo_sub1,2.019196960926706e-5,2.4836161290621464e-5,3.0145068977825794e-5
EPTESICUS_FUSCUS,geo_sub2,2.014603782028686e-5,2.4673050176859276e-5,2.9834002148144377e-5
EPTESICUS_FUSCUS,geo_sub3,2.0492127961531206e-5,2.5070871643387512e-5,3.028739221132116e-5
EPTESICUS_FUSCUS,hu_sub1,2.04291647581564e-5,2.5048139634389552e-05,3.0317681303118734e-5
EPTESICUS_FUSCUS,hu_sub2,2.0561207123047102e-5,2.5117711255279107e-5,3.030400211480532e-5
EPTESICUS_FUSCUS,hu_sub3,2.028120802006859e-5,2.4770467882005805e-5,2.987954627563708e-5
EPTESICUS_FUSCUS,in_sub1,0.036745776642895724,0.1067047281376171,0.22870151154182905
EPTESICUS_FUSCUS,in_sub2,2.0398320215319027e-5,2.502100357658092e-5,3.029619193446877e-5
EPTESICUS_FUSCUS,in_sub3,2.0404490449805178e-5,2.4925797092528805e-5,3.0071964907065195e-5
EPTESICUS_FUSCUS,in_sub4,2.0521632670584086e-5,2.5173448532236286e-5,3.048203880201007e-5
EPTESICUS_FUSCUS,in_sub5,2.6572623273273937e-5,3.2369489552986654e-4,0.0016360448558096932
EPTESICUS_FUSCUS,in_sub6,2.029912032500282e-5,2.4872234035791935e-5,3.0087285963048998e-5
EPTESICUS_FUSCUS,na_sub1,1.4294488984476178e-5,0.0011152718048768819,0.015432137891661757
EPTESICUS_FUSCUS,na_sub2,2.0618033558899798e-5,2.5138941276659744e-5,3.027851735788584e-5
EPTESICUS_FUSCUS,na_sub3,1.1081266083497449e-5,9.729011216757348e-4,0.014377441185314588
EPTESICUS_FUSCUS,po_sub1,2.049272839049623e-5,2.5003422369483804e-5,3.0133616750577564e-5
EPTESICUS_FUSCUS,po_sub2,2.0554892383952473e-5,2.5035191776270025e-5,3.012517741162449e-5
EPTESICUS_FUSCUS,po_sub3,1.7366369316067107e-5,1.027633634863743e-4,3.4972716454758414e-4
EPTESICUS_FUSCUS,po_sub4,2.041239702340762e-5,2.4957003712453744e-5,3.013250352569195e-5
EPTESICUS_FUSCUS,po_sub5,2.0565603477411432e-5,2.511425126438511e-5,3.0290454741771196e-5
EPTESICUS_FUSCUS,po_sub6,2.0368396054815702e-5,2.4953065384166593e-5,3.0180761319558213e-5
EPTESICUS_FUSCUS,tr_sub1,2.0443361525376588e-5,2.487162973888482e-5,2.9898975859029686e-5
EPTESICUS_FUSCUS,tr_sub2,2.0419960509738595e-5,2.5073241163255587e-5,3.0386768468968232e-5
EPTESICUS_FUSCUS,tr_sub3,2.0633243958596584e-5,2.517931176375964e-5,3.035031261302775e-5
EPTESICUS_FUSCUS,tr_sub4,2.0274904233150073e-5,2.4910439419073706e-5,3.0205748781222806e-5
LASIURUS_BOREALIS,ag_sub1,1.289887049574279e-4,0.004341590070313974,0.03752322868199087
LASIURUS_BOREALIS,ag_sub2,2.806749703700962e-4,0.0010941861297901088,0.0029346093537209635
LASIURUS_BOREALIS,ag_sub3,2.014984444045713e-5,2.471324625540987e-5,2.9920391940387048e-5
LASIURUS_BOREALIS,ag_sub4,2.0805198145686214e-5,2.5330787447943873e-5,3.0471041641512128e-5
LASIURUS_BOREALIS,bi_sub1,2.0415963820053983e-5,2.4872770594375143e-5,2.9936937224094878e-5
LASIURUS_BOREALIS,bi_sub2,2.052726616666856e-5,2.5204442072406796e-5,3.05451807598766e-5
LASIURUS_BOREALIS,bi_sub3,0.03177663831001403,0.08501975440907338,0.175789041538857
LASIURUS_BOREALIS,bi_sub4,2.0472189327294757e-5,2.516222184270094e-5,3.052104166638707e-5
LASIURUS_BOREALIS,cli_sub1,2.793057206040453e-5,0.0027616200973943003,0.042994113330453
LASIURUS_BOREALIS,cli_sub2,0.00014333000505195898,0.0038917434639055763,0.030029822059970068
LASIURUS_BOREALIS,cli_sub3,1.445689855663224e-4,0.0037382469598711675,0.028114121793726743
LASIURUS_BOREALIS,cli_sub4,2.063267307692552e-5,2.5140995882081007e-5,3.026423876390002e-5
LASIURUS_BOREALIS,cli_sub5,1.3940966230036235e-4,0.003686760490989587,0.02806727380615548
LASIURUS_BOREALIS,dev_sub1,8.049486861375875e-4,0.012729156186467501,0.07211160047127863
LASIURUS_BOREALIS,dev_sub2,5.751717756976766e-4,0.009034404810028266,0.05142080777551883
LASIURUS_BOREALIS,dev_sub3,2.0755879049327944e-5,6.495219449841173e-4,0.0054695453993996775
LASIURUS_BOREALIS,en_sub1,2.816029694290639e-5,3.820019518122832e-4,0.002046491653292032
LASIURUS_BOREALIS,en_sub2,2.3833474280705486e-5,2.834003720784207e-4,0.0014138381885695195
LASIURUS_BOREALIS,en_sub3,0.04450355102299818,0.19372884176562205,0.47365891717061326
LASIURUS_BOREALIS,geo_sub1,2.0264697902593505e-5,2.4893243471743e-5,3.0179947085454156e-5
LASIURUS_BOREALIS,geo_sub2,2.035409019178098e-5,2.4968549313273747e-5,3.0234591121023392e-5
LASIURUS_BOREALIS,geo_sub3,2.0476379939376583e-5,2.507049820570996e-5,3.0307017139370777e-5
LASIURUS_BOREALIS,hu_sub1,2.0323240463166152e-5,2.4918224806160118e-5,3.0160391582568453e-5
LASIURUS_BOREALIS,hu_sub2,2.0349263134137354e-5,2.4958904945272818e-5,3.021895604399724e-5
LASIURUS_BOREALIS,hu_sub3,2.0464703784146743e-5,2.5028705864916195e-5,3.022730616986967e-5
LASIURUS_BOREALIS,in_sub1,8.124104620716296e-5,0.004463860935938576,0.050113555105593344
LASIURUS_BOREALIS,in_sub2,2.1946954725010403e-5,2.900001879065737e-4,0.0015319288082553584
LASIURUS_BOREALIS,in_sub3,2.0441521695807268e-5,2.4954384160011292e-5,3.008878536551044e-5
LASIURUS_BOREALIS,in_sub4,2.0463366085899954e-5,2.4976028289440404e-5,3.0109551955000578e-5
LASIURUS_BOREALIS,in_sub5,2.020737337409805e-5,2.4771565719406782e-5,2.9977996570385555e-5
LASIURUS_BOREALIS,in_sub6,2.0409592588554372e-5,2.4939294573108015e-5,3.0095963161051636e-5
LASIURUS_BOREALIS,na_sub1,1.4957729392217456e-5,0.0019568713333142458,0.035719692310107076
LASIURUS_BOREALIS,na_sub2,2.024770714505448e-5,2.4851880226768796e-5,3.010802256483902e-5
LASIURUS_BOREALIS,na_sub3,2.049228795980018e-5,2.5156823178542188e-5,3.048250645518863e-5
LASIURUS_BOREALIS,po_sub1,2.0289883973251997e-5,4.729175397910064e-4,0.003395855372073705
LASIURUS_BOREALIS,po_sub2,2.0514979385868995e-5,2.5132067770529883e-5,3.0396653856095395e-5
LASIURUS_BOREALIS,po_sub3,2.4969318078715156e-5,0.0011427030588807942,0.011810131753548392
LASIURUS_BOREALIS,po_sub4,2.0381720307208302e-5,2.4972994383878e-5,3.020869672296281e-5
LASIURUS_BOREALIS,po_sub5,2.0388529333770245e-5,2.49386277249156e-5,3.0121794447443766e-5
LASIURUS_BOREALIS,po_sub6,2.0775259394654143e-5,2.5369340532316305e-5,3.059712379986706e-5
LASIURUS_BOREALIS,tr_sub1,3.81432879730308e-4,0.0015823500952618986,0.004398278451036176
LASIURUS_BOREALIS,tr_sub2,3.927042666586946e-5,0.003144103218026458,0.0435477744349243
LASIURUS_BOREALIS,tr_sub3,2.0574295984139206e-5,2.5153275280084397e-5,3.0367701133755142e-5
LASIURUS_BOREALIS,tr_sub4,0.0016672489519108094,0.020669719379718954,0.10157476204291893
MYOTIS_LUCIFUGUS,ag_sub1,2.0444270867822068e-5,2.4981495398138436e-5,3.0146705086865422e-5
MYOTIS_LUCIFUGUS,ag_sub2,2.0242858886269123e-5,2.4721744964601975e-5,2.9818772761523596e-5
MYOTIS_LUCIFUGUS,ag_sub3,2.0462510574880777e-5,2.5068221052301424e-5,3.0319890379310414e-5
MYOTIS_LUCIFUGUS,ag_sub4,2.034169679087408e-5,2.4866092842714577e-5,3.0017993803018517e-5
MYOTIS_LUCIFUGUS,bi_sub1,2.041400864147759e-5,2.4932710888072005e-5,3.0075302656668684e-5
MYOTIS_LUCIFUGUS,bi_sub2,2.031289351800874e-5,2.4783138702824105e-5,2.986721750551781e-5
MYOTIS_LUCIFUGUS,bi_sub3,0.008478153237209695,0.04635729096916632,0.14458111634196102
MYOTIS_LUCIFUGUS,bi_sub4,2.0591371042228633e-5,2.5165731173155856e-5,3.0373800734222064e-5
MYOTIS_LUCIFUGUS,cli_sub1,2.041675506176586e-5,2.4959070296297737e-5,3.0131535324705076e-5
MYOTIS_LUCIFUGUS,cli_sub2,2.0217403025482545e-5,2.4843238270920856e-5,3.0127927857503437e-5
MYOTIS_LUCIFUGUS,cli_sub3,3.5566381145564516e-5,0.0031750179295699527,0.046629481829344566
MYOTIS_LUCIFUGUS,cli_sub4,2.0379361878211678e-5,2.4961967097846995e-5,3.0186712926206038e-5
MYOTIS_LUCIFUGUS,cli_sub5,2.0417717194373684e-5,2.4949791601922932e-5,3.0109235041457776e-5
MYOTIS_LUCIFUGUS,dev_sub1,6.360240637684405e-4,0.012486689526876817,0.07920966144211028
MYOTIS_LUCIFUGUS,dev_sub2,2.059498332639634e-5,2.511464413953794e-5,3.0253293087913822e-5
MYOTIS_LUCIFUGUS,dev_sub3,2.3634202352652813e-5,0.0022062225826307656,0.03342703957301618
MYOTIS_LUCIFUGUS,en_sub1,2.0387983327131025e-5,2.5080929207120103e-5,3.0446062263433866e-5
MYOTIS_LUCIFUGUS,en_sub2,4.627030792545948e-4,0.0077870685534264395,0.046096872238657216
MYOTIS_LUCIFUGUS,en_sub3,0.002183869631768394,0.046244898236039673,0.27662990136076593
MYOTIS_LUCIFUGUS,geo_sub1,2.027675364591474e-5,2.488961282075343e-5,3.0155947961776878e-5
MYOTIS_LUCIFUGUS,geo_sub2,2.0427524781344773e-5,2.494187353474511e-5,3.0078558865132183e-5
MYOTIS_LUCIFUGUS,geo_sub3,2.04632552882358e-5,2.4922269793450797e-5,2.998790635426465e-5
MYOTIS_LUCIFUGUS,hu_sub1,3.920674536175957e-4,0.00755983784370199,0.04811661064063122
MYOTIS_LUCIFUGUS,hu_sub2,2.0262233307642828e-5,2.484904203008234e-5,3.0082625560605325e-5
MYOTIS_LUCIFUGUS,hu_sub3,2.0485994632915453e-5,2.5114553147734272e-5,3.039459665386894e-5
MYOTIS_LUCIFUGUS,in_sub1,0.4434051866954269,0.5948480801365824,0.7346583130687938
MYOTIS_LUCIFUGUS,in_sub2,2.0512203171689667e-5,2.4980065700151247e-5,3.0055521390202334e-5
MYOTIS_LUCIFUGUS,in_sub3,2.0410761473089745e-5,2.4985522840850823e-5,3.019937005686134e-5
MYOTIS_LUCIFUGUS,in_sub4,2.0237771005153167e-5,2.4778385793549253e-5,2.9953924114018895e-5
MYOTIS_LUCIFUGUS,in_sub5,8.743091525959957e-6,0.0028952313201811002,0.08644200468071661
MYOTIS_LUCIFUGUS,in_sub6,2.046166386290671e-5,2.4972401926326115e-5,3.010353645399307e-5
MYOTIS_LUCIFUGUS,na_sub1,3.4453660300828104e-5,0.0021994589638371304,0.02710139022170721
MYOTIS_LUCIFUGUS,na_sub2,2.054020145958703e-5,2.5136546766006367e-5,3.0374019720546598e-5
MYOTIS_LUCIFUGUS,na_sub3,1.7204359341446376e-5,0.0014856472444224687,0.021680390008183226
MYOTIS_LUCIFUGUS,po_sub1,2.0493200196584938e-5,2.494264879202263e-5,2.9995365638413078e-5
MYOTIS_LUCIFUGUS,po_sub2,2.365378900276596e-5,0.002338166375106973,0.03651274910932556
MYOTIS_LUCIFUGUS,po_sub3,2.8386269767021803e-5,0.003057623886670721,0.04974699927584547
MYOTIS_LUCIFUGUS,po_sub4,2.058612175555658e-5,2.5130237841830268e-5,3.0300110288466227e-5
MYOTIS_LUCIFUGUS,po_sub5,2.0363097624328405e-5,2.4910673855920737e-5,3.0091380046331587e-5
MYOTIS_LUCIFUGUS,po_sub6,2.0333027209704104e-5,2.4805269200875164e-5,2.989130487780181e-5
MYOTIS_LUCIFUGUS,tr_sub1,2.8504351379054176e-5,3.818163786758285e-4,0.0020315480188370606
MYOTIS_LUCIFUGUS,tr_sub2,2.048992768734825e-5,2.502498838094137e-5,3.018613917513228e-5
MYOTIS_LUCIFUGUS,tr_sub3,2.0683029409673944e-5,2.5194964721178434e-5,3.0321366065593887e-5
MYOTIS_LUCIFUGUS,tr_sub4,2.038243097888271e-5,2.491783448522113e-5,3.008252345288079e-5
MYOTIS_SEPTENTRIONALIS,ag_sub1,2.0347108721444055e-5,2.4999997628136963e-5,3.031524351861467e-5
MYOTIS_SEPTENTRIONALIS,ag_sub2,2.036274728607971e-5,2.495968803804377e-5,3.0203165490117722e-5
MYOTIS_SEPTENTRIONALIS,ag_sub3,2.0476425784554497e-5,2.5122618827591852e-5,3.0425406038773965e-5
MYOTIS_SEPTENTRIONALIS,ag_sub4,2.058003102981367e-5,2.509580122028253e-5,3.022994825853988e-5
MYOTIS_SEPTENTRIONALIS,bi_sub1,2.033042797386948e-5,2.4985969146512877e-5,3.030510989359675e-5
MYOTIS_SEPTENTRIONALIS,bi_sub2,2.0591723606262952e-5,2.511946555732474e-5,3.0268437425015272e-5
MYOTIS_SEPTENTRIONALIS,bi_sub3,0.0536914591664399,0.13048360306689602,0.25083069667091906
MYOTIS_SEPTENTRIONALIS,bi_sub4,2.0293406950981357e-5,2.4795711103479742e-5,2.9920980176227907e-5
MYOTIS_SEPTENTRIONALIS,cli_sub1,2.0501200999827665e-5,2.5061362174255277e-5,3.0254026083024607e-5
MYOTIS_SEPTENTRIONALIS,cli_sub2,2.0325136488522832e-5,2.498974717134988e-5,3.0320628207227345e-5
MYOTIS_SEPTENTRIONALIS,cli_sub3,9.251916584185086e-4,0.01998238467326113,0.13036825774575456
MYOTIS_SEPTENTRIONALIS,cli_sub4,2.0547412081216713e-5,2.51810779928495e-5,3.0465790780880773e-5
MYOTIS_SEPTENTRIONALIS,cli_sub5,2.035611433052074e-5,2.4842849408298144e-5,2.9946584722941538e-5
MYOTIS_SEPTENTRIONALIS,dev_sub1,2.4444328141259284e-5,0.0027300887510726102,0.04541801291549574
MYOTIS_SEPTENTRIONALIS,dev_sub2,2.0561983882241936e-5,2.5179021719957403e-5,3.0442153135685977e-5
MYOTIS_SEPTENTRIONALIS,dev_sub3,2.2879915533903154e-5,0.002602255773376399,0.04376676322145001
MYOTIS_SEPTENTRIONALIS,en_sub1,2.0702718580883726e-5,2.5317565497171847e-5,3.05737879987374e-5
MYOTIS_SEPTENTRIONALIS,en_sub2,9.518287200302425e-4,0.01880441629482904,0.11767407028984811
MYOTIS_SEPTENTRIONALIS,en_sub3,0.001167774140057404,0.023964991896576606,0.15069684881417367
MYOTIS_SEPTENTRIONALIS,geo_sub1,2.041909309271938e-5,2.5007643186179057e-5,3.0238773697028564e-5
MYOTIS_SEPTENTRIONALIS,geo_sub2,2.030217362524266e-5,2.486112103361235e-5,3.005806585894441e-5
MYOTIS_SEPTENTRIONALIS,geo_sub3,2.033921439929147e-5,2.4894094044663312e-5,3.0084777901230954e-5
MYOTIS_SEPTENTRIONALIS,hu_sub1,3.4135643189017554e-5,0.0028571584395370893,0.04061369903010381
MYOTIS_SEPTENTRIONALIS,hu_sub2,2.040095884977962e-5,2.508281055964589e-5,3.043337371165575e-5
MYOTIS_SEPTENTRIONALIS,hu_sub3,2.0833938282181e-5,0.002041918668728336,0.03180870169391259
MYOTIS_SEPTENTRIONALIS,in_sub1,0.5380663963651307,0.6642387238789887,0.7760601160778713
MYOTIS_SEPTENTRIONALIS,in_sub2,2.0465715849943085e-5,2.499938688904117e-5,3.015947172290773e-5
MYOTIS_SEPTENTRIONALIS,in_sub3,2.033340584529838e-5,2.4954105470291706e-5,3.0228721191242928e-5
MYOTIS_SEPTENTRIONALIS,in_sub4,2.042226614236496e-5,2.504301254463544e-5,3.0315016127777418e-5
MYOTIS_SEPTENTRIONALIS,in_sub5,8.163134451246717e-6,0.002780695099446085,0.08445436459429745
MYOTIS_SEPTENTRIONALIS,in_sub6,2.036540503104362e-5,2.4934795940408626e-5,3.014315244639442e-5
MYOTIS_SEPTENTRIONALIS,na_sub1,5.332464015484675e-4,0.010005187456436445,0.06238330548560955
MYOTIS_SEPTENTRIONALIS,na_sub2,2.049589250950373e-5,2.5131150593658248e-5,3.0419427089959923e-5
MYOTIS_SEPTENTRIONALIS,na_sub3,3.0470847926844496e-5,0.002074506442706956,0.026490935360511392
MYOTIS_SEPTENTRIONALIS,po_sub1,2.052596073623717e-5,2.500476280909245e-5,3.0093663637684927e-5
MYOTIS_SEPTENTRIONALIS,po_sub2,2.04563847603363e-5,2.4892123605195156e-5,2.9928543540675876e-5
MYOTIS_SEPTENTRIONALIS,po_sub3,2.8279710223430778e-5,0.0031394855707099207,0.05188443987217117
MYOTIS_SEPTENTRIONALIS,po_sub4,2.0214548944348744e-5,2.4782283264423732e-5,2.99930084443436e-5
MYOTIS_SEPTENTRIONALIS,po_sub5,2.036827263846682e-5,2.5072410386314456e-5,3.045245851635727e-5
MYOTIS_SEPTENTRIONALIS,po_sub6,2.0496491251485347e-5,2.5029466696818598e-5,3.0187785558726227e-5
MYOTIS_SEPTENTRIONALIS,tr_sub1,2.0252369677769477e-5,2.4754708574489882e-5,2.988120807930752e-5
MYOTIS_SEPTENTRIONALIS,tr_sub2,2.064706462648635e-5,2.5206028533018774e-5,3.0392974112451e-5
MYOTIS_SEPTENTRIONALIS,tr_sub3,2.0586536721125124e-5,2.5243484189189003e-5,3.055666301683679e-5
MYOTIS_SEPTENTRIONALIS,tr_sub4,2.0538871560183506e-5,2.5043593205710956e-5,3.016491912100055e-5
EUDERMA_MACULATUM,ag_sub1,0.05566527657312252,0.07672036647281362,0.10208210686920494
EUDERMA_MACULATUM,ag_sub2,2.0209920043574217e-5,2.49067014037902e-5,3.0282296833010824e-5
EUDERMA_MACULATUM,ag_sub3,0.054521689740202384,0.07633403392050377,0.10284052310334357
EUDERMA_MACULATUM,ag_sub4,2.0350842503065068e-5,2.5025909425812785e-5,3.0369351425040246e-5
EUDERMA_MACULATUM,bi_sub1,2.0120396121156605e-5,2.4708247440241577e-5,2.9947439804889898e-5
EUDERMA_MACULATUM,bi_sub2,2.0344412744316166e-5,2.4791374688742154e-5,2.984509611696017e-5
EUDERMA_MACULATUM,bi_sub3,2.089247766886765e-5,2.5436612417135337e-5,3.0597874631031085e-5
EUDERMA_MACULATUM,bi_sub4,2.012151933917823e-5,2.4655266119434852e-5,2.982551017726326e-5
EUDERMA_MACULATUM,cli_sub1,2.0282050068572735e-5,2.4932240496518904e-5,3.0246034809608248e-5
EUDERMA_MACULATUM,cli_sub2,0.059830448046428224,0.10852287705676067,0.1755501694527133
EUDERMA_MACULATUM,cli_sub3,2.070561520681154e-5,2.532125985753537e-5,3.057841081819185e-5
EUDERMA_MACULATUM,cli_sub4,2.0392485254359956e-5,2.5002002334326202e-5,3.026060014870692e-5
