species,question,Q1,Median,Q3
CENTRONYCTERIS_CENTRALIS,popSize,1357.8941145043048,2674.4730369025833,4674.245409299719
CENTRONYCTERIS_CENTRALIS,popTrend,-0.18161839074295216,-0.10473506698714469,-0.02785174323133721
LASIURUS_CINEREUS,popSize,431276.67389724846,950619.0709007201,1793355.1209303301
LASIURUS_CINEREUS,popTrend,-0.12052071402819733,-0.05512800601941565,0.010264701989366042
TADARIDA_BRASILIENSIS,popSize,8690038.78222678,19265990.45422158,36486002.977042496
TADARIDA_BRASILIENSIS,popTrend,-0.13275476805275865,-0.056022739006785324,0.020709290039188005
MYOTIS_FORTIDENS,popSize,77566.6915509597,203031.68348634784,428158.43180402357
MYOTIS_FORTIDENS,popTrend,-0.2151739641963778,-0.11368413588474552,-0.012194307573113225
PROMOPS_CENTRALIS,popSize,123244.71861679033,291930.4742765292,577439.8861967565
PROMOPS_CENTRALIS,popTrend,-0.056889176630733417,-0.011553068776361647,0.03378303907801012
LASIURUS_FRANTZII,popSize,180887.1518276514,403293.0351013631,766615.2054917655
LASIURUS_FRANTZII,popTrend,-0.1396313344302728,-0.07654421030829588,-0.013457086186318926
ARTIBEUS_HIRSUTUS,popSize,70633.4877325104,186743.6262452061,396306.7019609639
ARTIBEUS_HIRSUTUS,popTrend,-0.16316955248449777,-0.08819305108250428,-0.013216549680510795
ARTIBEUS_JAMAICENSIS,popSize,716817.5172176914,3439833.366630937,10404958.907041155
ARTIBEUS_JAMAICENSIS,popTrend,-0.023105692812130933,0.023272923943798953,0.06965154069972884
CHROTOPTERUS_AURITUS,popSize,3955.7832046071744,6374.92364595202,9637.226559916842
CHROTOPTERUS_AURITUS,popTrend,-0.2581868843538572,-0.15870087551283252,-0.05921486667180782
ANTROZOUS_PALLIDUS,popSize,188670.3162313272,418518.1975996149,792883.6903307291
ANTROZOUS_PALLIDUS,popTrend,-0.13603194665405477,-0.058127704300992775,0.019776538052069206
CHOERONYCTERIS_MEXICANA,popSize,199512.07767586253,438441.808463677,825469.0295525392
CHOERONYCTERIS_MEXICANA,popTrend,-0.13659632084141207,-0.0746871863259084,-0.012778051810404735
CHOERONISCUS_GODMANI,popSize,24758.64115342798,63358.01739722885,131709.68860690042
CHOERONISCUS_GODMANI,popTrend,-0.05842593885966712,-0.018593997079296813,0.021237944701073493
LAMPRONYCTERIS_BRACHYOTIS,popSize,6298.029678183098,26124.90493748746,72690.40111032421
LAMPRONYCTERIS_BRACHYOTIS,popTrend,-0.1079217385266475,-0.06273245501851697,-0.017543171510386438
GARDNERYCTERIS_KEENANI,popSize,4017.2971816228246,13399.00603283337,32793.88296733268
GARDNERYCTERIS_KEENANI,popTrend,-0.1251364455972936,-0.07259438878427617,-0.020052331971258733
LONCHORHINA_AURITA,popSize,8399.735351780351,21446.03000517558,44517.50397396786
LONCHORHINA_AURITA,popTrend,-0.1746481798620515,-0.11139416363766046,-0.04814014741326941
CENTURIO_SENEX,popSize,77870.41314743683,163558.21718691266,298724.68930810515
CENTURIO_SENEX,popTrend,-0.13555139027351598,-0.07710258483334301,-0.01865377939317004
TRACHOPS_CIRRHOSUS,popSize,6324.467158395344,11677.55882310776,19504.58469031828
TRACHOPS_CIRRHOSUS,popTrend,-0.19946759428759964,-0.12251269025056047,-0.04555778621352129
