species,question,Q1,Median,Q3
CENTRONYCTERIS_CENTRALIS,ag_sub1,3.0694877328006306e-4,0.012874222018206254,0.1205040361050338
CENTRONYCTERIS_CENTRALIS,ag_sub2,1.1566721646972069e-5,8.414915540983718e-4,0.011224169887338209
CENTRONYCTERIS_CENTRALIS,ag_sub3,0.013936620348091743,0.07581970561742335,0.22915366422795447
CENTRONYCTERIS_CENTRALIS,ag_sub4,2.038846810729623e-5,2.4965750679369054e-5,3.018345945860624e-5
CENTRONYCTERIS_CENTRALIS,bi_sub1,2.04074263271081e-5,2.4960542259806798e-5,3.0146989548640185e-5
CENTRONYCTERIS_CENTRALIS,bi_sub2,2.0424610140982557e-5,2.498909600406575e-5,3.0189481249510533e-5
CENTRONYCTERIS_CENTRALIS,bi_sub3,6.887078673892542e-4,0.012265922653851315,0.07400774930260545
CENTRONYCTERIS_CENTRALIS,bi_sub4,2.0538840034815724e-5,2.511472670243233e-5,3.032625717227385e-5
CENTRONYCTERIS_CENTRALIS,cli_sub1,2.5600999018021634e-5,0.002141798317501763,0.030584256556471567
CENTRONYCTERIS_CENTRALIS,cli_sub2,2.1603688932843665e-4,0.0050204784962747905,0.035526589645763496
CENTRONYCTERIS_CENTRALIS,cli_sub3,1.801029379149706e-5,2.82537393531736e-4,0.0016379577463556659
CENTRONYCTERIS_CENTRALIS,cli_sub4,0.0021995945534553055,0.01774949176495573,0.0700743650256258
CENTRONYCTERIS_CENTRALIS,cli_sub5,2.051338986796131e-5,2.510143001589365e-5,3.0329137405233195e-5
CENTRONYCTERIS_CENTRALIS,dev_sub1,9.158700322415777e-6,5.641781874053775e-4,0.0068791195867458944
CENTRONYCTERIS_CENTRALIS,dev_sub2,8.571735135061135e-6,1.5060732722884607e-4,9.286775004756778e-4
CENTRONYCTERIS_CENTRALIS,dev_sub3,5.378987621515553e-6,2.2493647592211936e-4,0.0022219379666219684
CENTRONYCTERIS_CENTRALIS,en_sub1,2.0427543932324728e-5,2.5028109657576905e-5,3.0274271925822834e-5
CENTRONYCTERIS_CENTRALIS,en_sub2,2.0384637321416043e-5,2.4883807732625704e-5,3.0002484420179376e-5
CENTRONYCTERIS_CENTRALIS,en_sub3,2.041418515872176e-5,2.5005616617737256e-5,3.02405565108032e-5
CENTRONYCTERIS_CENTRALIS,geo_sub1,2.0435548058100842e-5,2.4923738636747745e-5,3.0027061000996632e-5
CENTRONYCTERIS_CENTRALIS,geo_sub2,2.0255466521329846e-5,2.4825234097690255e-5,3.0037326755490762e-5
CENTRONYCTERIS_CENTRALIS,geo_sub3,2.043227010425553e-5,2.4928636275217605e-5,3.004240339206086e-5
CENTRONYCTERIS_CENTRALIS,hu_sub1,2.0532772765307845e-5,2.508225591361975e-5,3.026046190152797e-5
CENTRONYCTERIS_CENTRALIS,hu_sub2,2.0410091305033768e-5,2.493404627608477e-5,3.0083411288765035e-5
CENTRONYCTERIS_CENTRALIS,hu_sub3,2.025782316802239e-5,2.4819539270104585e-5,3.0021317792145636e-5
CENTRONYCTERIS_CENTRALIS,in_sub1,2.034967382015244e-5,2.484626994971325e-5,2.9962684370345935e-5
CENTRONYCTERIS_CENTRALIS,in_sub2,2.0406294777258742e-5,2.493600553196742e-5,3.009278047832299e-5
CENTRONYCTERIS_CENTRALIS,in_sub3,2.0347200070279984e-5,2.4897068412619407e-5,3.008115102821835e-5
CENTRONYCTERIS_CENTRALIS,in_sub4,2.0336625166678936e-5,2.4958597117449426e-5,3.023473706432703e-5
CENTRONYCTERIS_CENTRALIS,in_sub5,2.0456661711477003e-5,2.5047802713835352e-5,3.0281118176005826e-5
CENTRONYCTERIS_CENTRALIS,in_sub6,2.0312991352794415e-5,2.4930626481189743e-5,3.0201953294000692e-5
CENTRONYCTERIS_CENTRALIS,na_sub1,2.618158219008947e-5,0.0016320824221604242,0.019914153300918724
CENTRONYCTERIS_CENTRALIS,na_sub2,1.9194802197865877e-5,9.445738902741039e-5,2.8980665079389136e-4
CENTRONYCTERIS_CENTRALIS,na_sub3,5.253137325753913e-6,2.617862853372487e-4,0.002846005791662826
CENTRONYCTERIS_CENTRALIS,po_sub1,2.0438180845099394e-5,2.503000969982303e-5,3.026474520798839e-5
CENTRONYCTERIS_CENTRALIS,po_sub2,1.2025460553651152e-5,1.3395299431522573e-4,6.451483498652682e-4
CENTRONYCTERIS_CENTRALIS,po_sub3,6.967230771762682e-5,0.0029692196171436144,0.02928896278501114
CENTRONYCTERIS_CENTRALIS,po_sub4,2.03170461313969e-5,2.4883367808845327e-5,3.0089249667901322e-5
CENTRONYCTERIS_CENTRALIS,po_sub5,2.036997183719172e-5,2.4928572815543847e-5,3.012308244210642e-5
CENTRONYCTERIS_CENTRALIS,po_sub6,2.3139511424476614e-5,8.166273655090095e-5,2.067009816339239e-4
CENTRONYCTERIS_CENTRALIS,tr_sub1,4.4136485204594716e-6,3.589913805927059e-4,0.005106946002753306
CENTRONYCTERIS_CENTRALIS,tr_sub2,2.0398472021055028e-5,2.4977787206059227e-5,3.0197784948759995e-5
CENTRONYCTERIS_CENTRALIS,tr_sub3,2.051437559109807e-5,2.5102274400180625e-5,3.0329773355999154e-5
CENTRONYCTERIS_CENTRALIS,tr_sub4,2.0440620132749287e-5,2.4933205822526337e-5,3.004194885147249e-5
LASIURUS_CINEREUS,ag_sub1,2.922255233412249e-4,0.006594882785962626,0.0457390833491822
