token,cntry,spp,sppcode,Q_group,Q_sub,Q_ss,neg,conf,min,mean,max
rIJBDbdQlLMGc7J,United States,Nyctinomops macrotis,NYCTINOMOPS_MACROTIS,ag,sub1,Scope,1,99.99,1e-4,0.005,0.01
rIJBDbdQlLMGc7J,United States,Nyctinomops macrotis,NYCTINOMOPS_MACROTIS,ag,sub1,Severity,1,99.99,1e-4,0.005,0.01
QSFa4ka1wwLFos5,United States,Myotis septentrionalis,MYOTIS_SEPTENTRIONALIS,ag,sub1,Scope,1,99.99,1e-4,0.005,0.01
QSFa4ka1wwLFos5,United States,Myotis septentrionalis,MYOTIS_SEPTENTRIONALIS,ag,sub1,Severity,1,99.99,1e-4,0.005,0.01
eDakzN2Z5JyBxFV,United States,Myotis sodalis,MYOTIS_SODALIS,ag,sub1,Scope,0,60,0.2,0.3,0.35
eDakzN2Z5JyBxFV,United States,Myotis sodalis,MYOTIS_SODALIS,ag,sub1,Severity,0,65,0.25,0.3,0.4
W0Ou43JZrjuzA7e,United States,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub1,Scope,0,75,1e-4,0.05,0.1
W0Ou43JZrjuzA7e,United States,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub1,Severity,0,75,1e-4,0.05,0.1
AaE6Hh920wkI5BD,United States,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub1,Scope,0,65,0.1,0.25,0.45
AaE6Hh920wkI5BD,United States,Perimyotis subflavus,PERIMYOTIS_SUBFLAVUS,ag,sub1,Severity,0,65,0.05,0.15,0.3
8CVCWbFnPpIKeeu,United States,Myotis leibii,MYOTIS_LEIBII,ag,sub1,Scope,1,99.99,1e-4,0.005,0.01
8CVCWbFnPpIKeeu,United States,Myotis leibii,MYOTIS_LEIBII,ag,sub1,Severity,1,99.99,1e-4,0.005,0.01
zYJdowXhsVGOzG4,United States,Euderma maculatum,EUDERMA_MACULATUM,ag,sub1,Scope,1,99.99,1e-4,0.005,0.01
zYJdowXhsVGOzG4,United States,Euderma maculatum,EUDERMA_MACULATUM,ag,sub1,Severity,1,99.99,1e-4,0.005,0.01
W0Ou43JZrjuzA7e,United States,Myotis yumanensis,MYOTIS_YUMANENSIS,ag,sub1,Scope,0,75,1e-4,0.05,0.1
W0Ou43JZrjuzA7e,United States,Myotis yumanensis,MYOTIS_YUMANENSIS,ag,sub1,Severity,0,75,1e-4,0.05,0.1
zGOgnwJfMbMQy39,United States,Eumops floridanus,EUMOPS_FLORIDANUS,ag,sub1,Scope,0,70,0.05,0.1,0.2
zGOgnwJfMbMQy39,United States,Eumops floridanus,EUMOPS_FLORIDANUS,ag,sub1,Severity,0,70,0.05,0.1,0.2
uWYRNyMuXsIBygU,United States,Myotis ciliolabrum,MYOTIS_CILIOLABRUM,ag,sub1,Scope,0,70,0.05,0.15,0.3
uWYRNyMuXsIBygU,United States,Myotis ciliolabrum,MYOTIS_CILIOLABRUM,ag,sub1,Severity,0,85,0.05,0.1,0.15
bNwIhA2JoU9B8V0,United States,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub1,Scope,0,65,0.05,0.1,0.15
bNwIhA2JoU9B8V0,United States,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub1,Severity,0,65,1e-4,0.05,0.1
bNwIhA2JoU9B8V0,United States,Idionycteris phyllotis,IDIONYCTERIS_PHYLLOTIS,ag,sub1,Scope,0,70,0.05,0.1,0.15
bNwIhA2JoU9B8V0,United States,Idionycteris phyllotis,IDIONYCTERIS_PHYLLOTIS,ag,sub1,Severity,0,65,0.05,0.1,0.15
bNwIhA2JoU9B8V0,United States,Myotis volans,MYOTIS_VOLANS,ag,sub1,Scope,0,65,1e-4,0.05,0.1
bNwIhA2JoU9B8V0,United States,Myotis volans,MYOTIS_VOLANS,ag,sub1,Severity,0,65,0.05,0.1,0.15
uWYRNyMuXsIBygU,United States,Myotis thysanodes,MYOTIS_THYSANODES,ag,sub1,Scope,1,99.99,1e-4,0.005,0.01
uWYRNyMuXsIBygU,United States,Myotis thysanodes,MYOTIS_THYSANODES,ag,sub1,Severity,1,99.99,1e-4,0.005,0.01
WQyLHmHZXLd7qQq,United States,Antrozous pallidus,ANTROZOUS_PALLIDUS,ag,sub1,Scope,0,75,1e-4,0.05,0.1
WQyLHmHZXLd7qQq,United States,Antrozous pallidus,ANTROZOUS_PALLIDUS,ag,sub1,Severity,0,75,1e-4,0.05,0.1
WQyLHmHZXLd7qQq,United States,Choeronycteris mexicana,CHOERONYCTERIS_MEXICANA,ag,sub1,Scope,0,75,1e-4,0.05,0.1
WQyLHmHZXLd7qQq,United States,Choeronycteris mexicana,CHOERONYCTERIS_MEXICANA,ag,sub1,Severity,0,75,1e-4,0.1,0.2
WQyLHmHZXLd7qQq,United States,Corynorhinus townsendii,CORYNORHINUS_TOWNSENDII,ag,sub1,Scope,1,99.99,1e-4,0.005,0.01
WQyLHmHZXLd7qQq,United States,Corynorhinus townsendii,CORYNORHINUS_TOWNSENDII,ag,sub1,Severity,1,99.99,1e-4,0.005,0.01
WQyLHmHZXLd7qQq,United States,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub1,Scope,0,75,1e-4,0.05,0.1
WQyLHmHZXLd7qQq,United States,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub1,Severity,0,75,1e-4,0.05,0.1
WQyLHmHZXLd7qQq,United States,Euderma maculatum,EUDERMA_MACULATUM,ag,sub1,Scope,1,99.99,1e-4,0.005,0.01
WQyLHmHZXLd7qQq,United States,Euderma maculatum,EUDERMA_MACULATUM,ag,sub1,Severity,1,99.99,1e-4,0.005,0.01
mRbMM4FVzP2VImv,United States,Myotis septentrionalis,MYOTIS_SEPTENTRIONALIS,ag,sub1,Scope,1,99.99,1e-4,0.005,0.01
mRbMM4FVzP2VImv,United States,Myotis septentrionalis,MYOTIS_SEPTENTRIONALIS,ag,sub1,Severity,1,99.99,1e-4,0.005,0.01
mRbMM4FVzP2VImv,United States,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub1,Scope,1,99.99,1e-4,0.005,0.01
mRbMM4FVzP2VImv,United States,Eptesicus fuscus,EPTESICUS_FUSCUS,ag,sub1,Severity,1,99.99,1e-4,0.005,0.01
bNwIhA2JoU9B8V0,United States,Myotis evotis,MYOTIS_EVOTIS,ag,sub1,Scope,0,65,0.05,0.1,0.15
bNwIhA2JoU9B8V0,United States,Myotis evotis,MYOTIS_EVOTIS,ag,sub1,Severity,0,65,0.05,0.15,0.25
bNwIhA2JoU9B8V0,United States,Myotis thysanodes,MYOTIS_THYSANODES,ag,sub1,Scope,0,65,0.1,0.2,0.3
bNwIhA2JoU9B8V0,United States,Myotis thysanodes,MYOTIS_THYSANODES,ag,sub1,Severity,0,65,0.05,0.1,0.15
uWYRNyMuXsIBygU,United States,Myotis volans,MYOTIS_VOLANS,ag,sub1,Scope,0,65,0.05,0.1,0.2
uWYRNyMuXsIBygU,United States,Myotis volans,MYOTIS_VOLANS,ag,sub1,Severity,0,70,0.05,0.1,0.15
