species,question,Q1,Median,Q3
NYCTINOMOPS_MACROTIS,popSize,11029.823070657918,45772.537961379865,127389.95827899034
NYCTINOMOPS_MACROTIS,popTrend,-0.10687032554244946,-0.03589165249031704,0.035087020561815375
MYOTIS_SEPTENTRIONALIS,popSize,1050.6419705639978,21910.929673851024,148317.53479100592
MYOTIS_SEPTENTRIONALIS,popTrend,-1.0262166912096458,-0.48770502189026826,0.050806647429109286
MYOTIS_SODALIS,popSize,207348.4313259658,376189.74698262697,620511.8848523197
MYOTIS_SODALIS,popTrend,-0.3894162597715398,-0.24551854138785864,-0.10162082300417744
EPTESICUS_FUSCUS,popSize,534228.1126299343,2980843.4911972415,9817519.238076916
EPTESICUS_FUSCUS,popTrend,-0.1344098546318984,-0.023245775101177292,0.08791830442954382
PERIMYOTIS_SUBFLAVUS,popSize,15357.851985615434,124223.71616384822,502539.3927199642
PERIMYOTIS_SUBFLAVUS,popTrend,-0.8776566683318404,-0.7482572366132547,-0.618857804894669
MYOTIS_LEIBII,popSize,121666.81765337147,415269.72081911645,1030478.6520042444
MYOTIS_LEIBII,popTrend,-0.17999855806341444,-0.07861302729815656,0.02277250346710133
EUDERMA_MACULATUM,popSize,6448.002382786987,13011.565257303597,23124.33030194989
EUDERMA_MACULATUM,popTrend,-0.05499340015918251,-0.001174641424831752,0.05264411730951901
MYOTIS_YUMANENSIS,popSize,265558.2862328016,581570.8931941778,1092424.5803922669
MYOTIS_YUMANENSIS,popTrend,-0.06825685831622043,-0.0033700439075377013,0.06151677050114503
EUMOPS_FLORIDANUS,popSize,1049.5237559967898,2043.0677822487623,3541.8138743585587
EUMOPS_FLORIDANUS,popTrend,-0.2702512748018364,-0.13237344985800317,0.005504375085830043
MYOTIS_CILIOLABRUM,popSize,253387.47250297395,632135.3469481712,1292919.4414012854
MYOTIS_CILIOLABRUM,popTrend,-0.069136701270422235,0.0067218186354554,0.08258033854133304
IDIONYCTERIS_PHYLLOTIS,popSize,6232.517111573527,13269.265573017383,24457.840843689944
IDIONYCTERIS_PHYLLOTIS,popTrend,-0.06638311147275272,-0.004384371408760943,0.05761436865523083
MYOTIS_VOLANS,popSize,377964.3460589083,554556.3299956999,779610.9862677241
MYOTIS_VOLANS,popTrend,-0.08188244143062229,-0.02835097608530109,0.025180489260020106
MYOTIS_THYSANODES,popSize,216720.1377785623,347466.0806475359,523240.77589337813
MYOTIS_THYSANODES,popTrend,-0.11577041172309603,-0.04843527808502879,0.018899855553038455
ANTROZOUS_PALLIDUS,popSize,128933.96822248543,289322.3933782082,552324.9423555078
ANTROZOUS_PALLIDUS,popTrend,-0.16997648025178697,-0.08662380566646048,-0.0032711310811340127
CHOERONYCTERIS_MEXICANA,popSize,727.0183500361597,1487.814087326693,2669.7213558846024
CHOERONYCTERIS_MEXICANA,popTrend,-0.1497691149637696,-0.0056229512418878545,0.13852321247999388
CORYNORHINUS_TOWNSENDII,popSize,101949.34690974803,246886.4345631357,495393.28227155015
CORYNORHINUS_TOWNSENDII,popTrend,-0.2114298393651492,-0.11350451902117822,-0.015579198677207237
MYOTIS_EVOTIS,popSize,275509.5724198155,447696.88263537036,681054.205488798
MYOTIS_EVOTIS,popTrend,-0.09994013661804929,-0.03842649753896712,0.023087141540115062
EUMOPS_PEROTIS,popSize,6530.00798006659,45676.42670973281,170585.72993599853
EUMOPS_PEROTIS,popTrend,-0.0412797237905697,-0.00597189262441684,0.02933593854173602
EUMOPS_UNDERWOODI,popSize,687.8046000771895,1072.0614928346622,1579.979311096652
EUMOPS_UNDERWOODI,popTrend,-0.0901068234763788,0.012404081707444545,0.11491498689126789
LASIONYCTERIS_NOCTIVAGANS,popSize,28667.21820922676,34597.83970386556,41296.795287814966
LASIONYCTERIS_NOCTIVAGANS,popTrend,-0.11784287697519655,-0.05072978749529093,0.016383301984614684
LASIURUS_BLOSSEVILLII,popSize,6703.914409855937,10286.611247239092,14977.800357127271
LASIURUS_BLOSSEVILLII,popTrend,-0.07066891027129016,-0.0011238093029108782,0.0684212916654684
LEPTONYCTERIS_NIVALIS,popSize,2041.379661512474,2891.714581152583,3952.489075543315
LEPTONYCTERIS_NIVALIS,popTrend,-0.3487095796400023,-0.2013616824287622,-0.05401378521752209
LEPTONYCTERIS_YERBABUENAE,popSize,57391.21836930175,74238.8385706417,94113.49636088253
LEPTONYCTERIS_YERBABUENAE,popTrend,0.04476247381219889,0.11724270598981565,0.1897229381674324
LASIURUS_CINEREUS,popSize,510945.7395872738,1390583.2289542393,3005325.854470233
LASIURUS_CINEREUS,popTrend,-0.4407518966542604,-0.1862497122250564,0.06825247220414762
LASIURUS_XANTHINUS,popSize,1839.4192973867152,15281.746466023413,62734.5855457662
LASIURUS_XANTHINUS,popTrend,-0.0660597132889186,-0.018721963991718726,0.02861578530548115
MACROTUS_CALIFORNICUS,popSize,12308.022603981346,27820.834387905234,53367.40069368283
MACROTUS_CALIFORNICUS,popTrend,-0.12605737480263457,-0.053503487300619254,0.01905040020139606
MYOTIS_VELIFER,popSize,222318.58611190235,289126.7392732589,368200.9098771869
MYOTIS_VELIFER,popTrend,-0.06295912093806104,-0.003577581642974071,0.0558039576521129
NYCTINOMOPS_FEMOROSACCUS,popSize,5805.034469675414,8740.65125726011,12540.990590838566
NYCTINOMOPS_FEMOROSACCUS,popTrend,-0.055471021727729476,3.110129037476845e-4,0.05609304753522485
PARASTRELLUS_HESPERUS,popSize,808529.0292791442,1675180.7146796628,3031339.09942794
PARASTRELLUS_HESPERUS,popTrend,-0.11577853975220705,-0.04664164506578769,0.022495249620631666
MYOTIS_AURICULUS,popSize,14806.518233330378,25232.06647836635,39767.87344585662
MYOTIS_AURICULUS,popTrend,-0.1409970785447865,-0.03846299769624305,0.06407108315230038
MORMOOPS_MEGALOPHYLLA,popSize,3718.2871507521354,5111.687559428678,6818.361215547053
MORMOOPS_MEGALOPHYLLA,popTrend,-0.0742357227040525,-0.008856798223420604,0.0565221262572113
MYOTIS_CALIFORNICUS,popSize,228985.49422501732,464930.7575809415,829781.122380847
MYOTIS_CALIFORNICUS,popTrend,-0.08129749045141861,0.005420996006423665,0.09213948246426594
LASIURUS_EGA,popSize,2347.2861089875532,4664.382877758914,8202.29734748733
LASIURUS_EGA,popTrend,-0.03688479943275247,0.049370719181091885,0.13562623779493624
LASIURUS_INTERMEDIUS,popSize,46087.05371219998,65093.42050874928,88761.06528384489
LASIURUS_INTERMEDIUS,popTrend,-0.10131956365807024,-0.033005318184713646,0.035308927288642954
TADARIDA_BRASILIENSIS,popSize,15507562.743051171,31072066.169239324,54953229.5317899
TADARIDA_BRASILIENSIS,popTrend,-0.17776415203786897,-0.07627263840121472,0.02521887523543953
MYOTIS_OCCULTUS,popSize,12747.290251295388,32506.12926689598,67423.17505710262
MYOTIS_OCCULTUS,popTrend,-0.0799657383966918,-0.03416648657739457,0.011632765241902647
MYOTIS_GRISESCENS,popSize,4374422.579842936,5079646.126954312,5856984.536280117
MYOTIS_GRISESCENS,popTrend,0.04802547801574571,0.13281716568110177,0.21760885334645785
MYOTIS_AUSTRORIPARIUS,popSize,398135.26717216003,835673.9065511498,1525586.3423131858
MYOTIS_AUSTRORIPARIUS,popTrend,-0.1694661255036108,-0.09758293127858382,-0.025699737053556868
MYOTIS_LUCIFUGUS,popSize,90480.04718187482,275832.1997510883,639398.5332221469
MYOTIS_LUCIFUGUS,popTrend,-0.8735487152356444,-0.6785439344824034,-0.48353915372916234
CORYNORHINUS_RAFINESQUII,popSize,39125.08457104408,148408.89305400473,391982.8434692555
CORYNORHINUS_RAFINESQUII,popTrend,-0.18396400717455363,-0.05891701526554814,0.06612997664345736
LASIURUS_BOREALIS,popSize,192554.54710297263,1962497.815395924,9007708.666777872
LASIURUS_BOREALIS,popTrend,-0.6024886269366819,-0.4951226185447428,-0.3877566101528037
LASIURUS_SEMINOLUS,popSize,155995.5641567107,1230388.2773390939,4909108.610023336
LASIURUS_SEMINOLUS,popTrend,-0.15845216433172082,-0.029384800980672213,0.09968256237037638
NYCTICEIUS_HUMERALIS,popSize,766784.476358169,1020650.6057499904,1325478.0910669374
NYCTICEIUS_HUMERALIS,popTrend,-0.008641709165425303,0.05082208790898962,0.11028588498340455
LASIURUS_SEMOTUS,popSize,4116.21185422359,11650.36663238095,25801.0716519507
LASIURUS_SEMOTUS,popTrend,-0.2339224380383685,-0.08433404616557721,0.06525434570721408
