species,range
Nyctinomops macrotis,"200,000-2,500,000"
Myotis septentrionalis,">2,500,000"
Myotis sodalis,"200,000-2,500,000"
Eptesicus fuscus,">2,500,000"
Perimyotis subflavus,">2,500,000"
Myotis leibii,"20,000-200,000"
Euderma maculatum,"200,000-2,500,000"
Myotis yumanensis,">2,500,000"
Eumops floridanus,"20,000-200,000"
Myotis ciliolabrum,">2,500,000"
Idionycteris phyllotis,"200,000-2,500,000"
Myotis volans,">2,500,000"
Myotis thysanodes,"200,000-2,500,000"
Antrozous pallidus,">2,500,000"
Choeronycteris mexicana,"20,000-200,000"
Corynorhinus townsendii,">2,500,000"
Myotis evotis,">2,500,000"
Eumops perotis,"200,000-2,500,000"
Eumops underwoodi,"5,000-20,000"
Lasionycteris noctivagans,">2,500,000"
Lasiurus blossevillii,"200,000-2,500,000"
Leptonycteris nivalis,"5,000-20,000"
Leptonycteris yerbabuenae,"20,000-200,000"
Lasiurus cinereus,">2,500,000"
Lasiurus xanthinus,"200,000-2,500,000"
Macrotus californicus,"20,000-200,000"
Myotis velifer,"200,000-2,500,000"
Nyctinomops femorosaccus,"200,000-2,500,000"
Parastrellus hesperus,"200,000-2,500,000"
Myotis auriculus,"200,000-2,500,000"
Mormoops megalophylla,"20,000-200,000"
Myotis californicus,">2,500,000"
Lasiurus ega,"20,000-200,000"
Lasiurus intermedius,"200,000-2,500,000"
Tadarida brasiliensis,">2,500,000"
Myotis occultus,"200,000-2,500,000"
Myotis grisescens,"200,000-2,500,000"
Myotis austroriparius,"200,000-2,500,000"
Myotis lucifugus,">2,500,000"
Corynorhinus rafinesquii,"200,000-2,500,000"
Lasiurus borealis,">2,500,000"
Lasiurus seminolus,">2,500,000"
Nycticeius humeralis,">2,500,000"
Lasiurus semotus,"5,000-20,000"
