species,question,Q1,Median,Q3
NYCTINOMOPS_MACROTIS,ag_sub1,7.378906120225333e-6,3.1802544971380953e-4,0.003192488902289176
NYCTINOMOPS_MACROTIS,ag_sub2,2.036452129129712e-5,2.4845903139564047e-5,2.9942618744509387e-5
NYCTINOMOPS_MACROTIS,ag_sub3,7.356855830517245e-5,0.0012452372372934433,0.007505913718929613
NYCTINOMOPS_MACROTIS,ag_sub4,2.064917999538527e-5,2.5148090090890244e-5,3.025897054979201e-5
NYCTINOMOPS_MACROTIS,bi_sub1,2.047419592243256e-5,2.5062720337929298e-5,3.0292193536698112e-5
NYCTINOMOPS_MACROTIS,bi_sub2,2.044725946826401e-5,2.4991062611152054e-5,3.0164531893007084e-5
NYCTINOMOPS_MACROTIS,bi_sub3,1.4648905185566172e-5,4.1456356437040074e-4,0.0033080041379492673
NYCTINOMOPS_MACROTIS,bi_sub4,2.032468913461874e-5,2.4958039965685228e-5,3.024904693366245e-5
NYCTINOMOPS_MACROTIS,cli_sub1,0.0011683680375306235,0.009554087621435302,0.03840018025408265
NYCTINOMOPS_MACROTIS,cli_sub2,0.02942595644139536,0.06980877840119996,0.13519535095850332
NYCTINOMOPS_MACROTIS,cli_sub3,0.012598175396997443,0.028883649997426805,0.05546219091401716
NYCTINOMOPS_MACROTIS,cli_sub4,1.363267996034133e-5,3.032144846685519e-4,0.002123703333047312
NYCTINOMOPS_MACROTIS,cli_sub5,2.0313103889042148e-5,2.4768642069277097e-5,2.9834095418749005e-5
NYCTINOMOPS_MACROTIS,dev_sub1,2.0439665359146765e-5,2.489736580631982e-5,2.9961999662041903e-5
NYCTINOMOPS_MACROTIS,dev_sub2,2.0395315799640033e-5,2.4917542892159432e-5,3.0065142274717707e-5
NYCTINOMOPS_MACROTIS,dev_sub3,1.1817993942119067e-5,5.026377303530761e-4,0.005005362461249201
NYCTINOMOPS_MACROTIS,en_sub1,3.187083787141309e-4,0.0023216985895032527,0.008842980933060351
NYCTINOMOPS_MACROTIS,en_sub2,4.825949905291143e-4,0.003033339883518284,0.01064375105251536
NYCTINOMOPS_MACROTIS,en_sub3,0.01032581876010005,0.023832481469870485,0.046028091440813323
NYCTINOMOPS_MACROTIS,geo_sub1,2.0450611778988856e-5,2.500952971182505e-5,3.020208541643087e-5
NYCTINOMOPS_MACROTIS,geo_sub2,2.0289858889054237e-5,2.4945210326281113e-5,3.0265353774390092e-5
NYCTINOMOPS_MACROTIS,geo_sub3,2.0451995352767413e-5,2.4967270771844393e-5,3.010443028799535e-5
NYCTINOMOPS_MACROTIS,hu_sub1,6.974345779562167e-4,0.005130712472889224,0.01958198002288014
NYCTINOMOPS_MACROTIS,hu_sub2,2.0437735260077504e-5,2.5068845920990415e-5,3.035358416688901e-5
NYCTINOMOPS_MACROTIS,hu_sub3,1.2647124424062781e-5,2.3860994482797002e-4,0.0015288632670935332
NYCTINOMOPS_MACROTIS,in_sub1,5.278025765965888e-5,8.142740374934036e-4,0.004672795203655527
NYCTINOMOPS_MACROTIS,in_sub2,1.3172222221666844e-5,2.342521837110318e-4,0.0014536514398000397
NYCTINOMOPS_MACROTIS,in_sub3,2.0286888422838476e-5,2.4777528792585586e-5,2.988819427461572e-5
NYCTINOMOPS_MACROTIS,in_sub4,2.0640771855619494e-5,2.514132270716841e-5,3.025451183468634e-5
NYCTINOMOPS_MACROTIS,in_sub5,1.4426826409102268e-5,7.743667057635901e-4,0.008746242887948119
NYCTINOMOPS_MACROTIS,in_sub6,1.183638442902664e-5,2.4785843306204174e-4,0.0016804154991645571
