species,country,spp_abbrev,common_name,area,x
Eptesicus fuscus,USA,EPFUS,Big Brown Bat,7781831836311.51,"list(c(-93.855540359655, -101.97278, -105.326376512759, -107.05, -110.05, -113, -116.04818, -117.03121, -120, -121.150453960595, -122.342369465332, -122.590674355935, -122.704811819545, -122.5, -122.34, -122.58736, -123.12, -123.122882569676, -124.01184697268, -123.89893, -124.020535, -124.14214, -124.326631688629, -124.279235131054, -124.2137, -124.17886, -124.229513484402, -124.216667, -123.904916879082, -123.86517, -123.844403944548, -123.52, -123.367947717136, -122.95319, -122.51201, -122.54747, 
-122.368514290841, -121.423492141093, -120.986505717624, -120.74433, -120.725490819001, -120.324322, -120.07780941372, -119.438840642017, -119.081, -118.5198948228, -118.410602275898, -117.944, -117.295937691274, -117.23863313797, -117.11, -116.70639, -116.53676610153, -115.99135, -114.72139, -114.815, -113.30498, -111.02361, -109.035, -108.24194, -108.24, -106.50759, -106.1429, -105.63159, -105.03737, -104.70575, -104.45697, -103.948505258668, -103.53, -103.004103952092, -102.48, -101.6624, -100.9576, 
-100.61421993948, -96.2564440427679, -95.60026, -94.69, -93.8484199999999, -93.22637, -92.49906, -91.6267849999999, -90.8802249999999, -90.15463, -89.7792799999999, -89.4082299999999, -89.21767, -89.43, -89.4137349999999, -89.5938311784198, -89.1804899999998, -88.4178199999999, -87.5303599999999, -86.3999999999999, -85.7731, -85.28784, -85.10882, -84.0999999999999, -83.70959, -82.9299999999999, -82.6499999999999, -82.85526, -82.7051499999999, -82.2399999999999, -81.7137610728605, -80.43, -80.0876031673864, 
-80.0565392849776, -80.5299999999998, -80.5355849999999, -80.9799999999999, -81.31371, -81.49042, -81.33629, -80.8649799999999, -80.3013249999999, -79.20357, -79.06067, -78.5543499999998, -78.05496, -77.3976349999999, -76.36318, -75.72749, -75.8680399999998, -75.9717999999999, -76.25874, -76.3016199999999, -76.9899979316135, -76.32933, -76.5427249999999, -76.3500000000001, -76.2328699999999, -75.7220499999998, -76.0312699999999, -75.94023, -75.3774699999999, -75.0567299999999, -75.0718347647898, 
-75.32, -75.52805, -75.2000199999999, -74.9804099999999, -74.9060399999999, -74.17838, -73.9624399999999, -74.25671, -73.9523249999999, -73.982, -73.3449999999999, -71.9449999999998, -72.2412599999999, -73.71, -72.87643, -72.295, -71.8599999999998, -71.12039, -70.64, -70.104414548531, -69.981901, -69.9264996384824, -70.185, -70.08, -70.4949999999999, -70.825, -70.8148899999999, -70.645475633411, -70.1161699999999, -69.3667755844091, -69.279301, -69.77949, -72.125844109949, -73.3478299999999, -74.867, 
-75.3182099999999, -76.3749999999999, -76.5, -76.8200341458056, -77.7378850979576, -78.7202799140424, -79.1716735501119, -79.0099999999999, -78.9199999999999, -78.9393621487437, -80.2474476793479, -81.2777465481671, -82.4392777167916, -82.6900892809202, -83.0298101468069, -83.1419996813126, -83.1199999999999, -82.8999999999999, -82.4299999999999, -82.137642381504, -82.3377631254311, -82.5509246487582, -83.5928507148431, -83.4695507473946, -83.6161309475905, -83.8907653470057, -84.0918512641615, -84.1421195136733, 
-84.3367, -84.6049000000001, -84.5437487454457, -84.7792382473998, -84.8760798815149, -85.6523632474032, -86.4619908312281, -87.4397926233002, -88.1286879906776, -88.3518279791006, -88.5401349676558, -89.2729174466367, -89.6, -90.8299999999999, -91.6399999999999, -92.61, -93.63087, -93.855540359655, 48.6295183953292, 48.72889, 49.0094393248721, 49.0000000000001, 49.0000000000001, 49.0000000000001, 49.0000000000001, 49.0000000000001, 49.0000000000001, 49.0083993666272, 48.9200172160235, 48.8464147730843, 
48.6772608749215, 48.1800000000001, 47.36, 47.0960000000001, 48.04, 48.0406997840991, 46.3692638677311, 45.5234100000001, 44.615895, 43.7083800000001, 43.2671730350007, 42.1586116146648, 41.9996400000001, 41.1420200000001, 40.952369644805, 40.633333, 39.8081167669983, 39.7669900000001, 39.6454981980148, 38.76, 38.565790632525, 38.1137100000001, 37.7833900000001, 37.5517600000001, 37.257801745938, 35.9697668009739, 35.4107309585127, 35.1568600000001, 35.0723077213898, 34.545542, 34.4171000585079, 
34.3484771782843, 34.078, 34.0277815775758, 33.7409092231245, 33.6212364312014, 33.0462246152039, 32.8728310921883, 32.8, 32.61139, 32.5767028707853, 32.6123900000001, 32.72083, 32.52528, 32.0391400000001, 31.33472, 31.3419400000002, 31.3422200000001, 31.7548537181664, 31.75452, 31.3999500000001, 31.0838300000001, 30.64402, 30.12173, 29.5719600000001, 29.2749985692263, 29.139999999197, 29.1038545351721, 29.76, 29.7793000000001, 29.3807100000001, 28.9133924681274, 28.4551523745406, 28.7386300000001, 
29.4800000000001, 29.7136300000001, 29.7837500000001, 29.5523, 29.6770000000001, 29.1485350000001, 29.1174300000001, 29.3071400000001, 29.15961, 29.2910800000001, 29.48864, 29.89419, 30.1599940048369, 30.3159800000001, 30.3849, 30.27433, 30.4000000000001, 30.1526100000001, 29.6861200000001, 29.6361500000001, 30.0900000000001, 29.9365600000001, 29.1000000000001, 28.5500000000002, 27.88624, 27.4950400000001, 26.7300000000001, 25.8761546327013, 25.57, 26.2146379565085, 26.8800000000001, 28.0400000000001, 
28.47213, 29.1800000000001, 30.0355200000001, 30.7299900000001, 31.44049, 32.0333000000001, 32.5093550000001, 33.1583900000001, 33.49395, 33.8613300000001, 33.9254700000001, 34.51201, 34.8085400000001, 35.5507400000001, 36.55125, 36.89726, 36.9664000000001, 37.917945, 38.2399917669134, 38.0832600000001, 38.7176150000001, 39.15, 38.319215, 37.9370500000001, 37.2566, 37.2168900000001, 38.0155100000001, 38.4041200000001, 38.7820322301793, 38.9600000000001, 39.4985000000001, 39.2484500000001, 39.1964000000001, 
38.9395400000001, 39.70926, 40.42763, 40.4735100000001, 40.75075, 40.628, 40.6300000000001, 40.9300000000001, 41.1194800000002, 40.9311023516545, 41.2206500000001, 41.27, 41.3200000000001, 41.4944500000002, 41.4750000000001, 41.6040708501308, 41.754654, 41.9537217427552, 42.1450000000001, 41.7800000000001, 41.805, 42.335, 42.8653, 43.0902383489641, 43.6840500000002, 43.8953414335762, 44.187622, 44.310624, 45.0112338828365, 45.0073800000001, 45.0004800000001, 44.8164500000002, 44.09631, 44.0184588937586, 
43.6287842880937, 43.6290555893634, 43.625089423185, 43.4663394231843, 43.27, 42.965, 42.8636113551481, 42.3661998561227, 42.2090259873069, 41.6751050888673, 41.6751050888673, 41.832795722006, 41.975681057293, 42.0800000000001, 42.4300000000002, 42.9800000000001, 43.57108755144, 44.4400000000001, 45.3475165879055, 45.8168936224126, 45.9946863877126, 46.1169269882991, 46.1169269882991, 46.2754186061383, 46.5122258571157, 46.4087700000001, 46.4396, 46.5386841904492, 46.6371019557491, 46.9000833196824, 
47.2202188177305, 47.553338019392, 47.9400000000001, 48.2076895930124, 48.2344191948667, 48.252400391018, 48.0198082545828, 48.0100000000001, 48.27, 48.14, 48.45, 48.60926, 48.6295183953292))"
Myotis yumanensis,USA,MYYUM,Yuma Myotis,3194687694985.12,"list(c(-100.848746468136, -97.288002, -97.294128, -98.665898, -106.956179, -114.119216853598, -116.868613260747, -117.781404450748, -122.590674355935, -122.753569800505, -122.5, -122.34, -122.58736, -123.12, -124.233756170987, -124.666812278392, -124.666673224645, -124.39567, -124.079635, -123.89893, -124.020535, -124.14214, -124.423601068253, -124.398367468306, -124.2137, -124.17886, -124.322127250412, -124.32126, -124.056449722346, -123.86517, -123.791844390883, -123.57, -123.497864299929, -122.95319, 
-122.51201, -122.54747, -122.144990972047, -121.518660741216, -121.318548386421, -120.021474, -119.798984353833, -119.438840642017, -119.081, -118.5198948228, -118.410602275898, -117.944, -117.295937691274, -117.150479583437, -117.086115290757, -117.004910836608, -115.99135, -114.72139, -114.815, -113.30498, -111.02361, -109.035, -108.24194, -108.24, -106.50759, -106.1429, -105.63159, -105.03737, -104.70575, -104.45697, -103.94, -103.898785903239, -103.53, -102.956058676215, -102.48, -101.6624, -100.9576, 
-100.848746468136, 29.2331225186818, 29.274, 32.778701, 34.695624, 44.797194, 47.5988921480955, 48.6088682375432, 48.8869272119875, 48.8464147730843, 48.7941604453225, 48.1800000000001, 47.36, 47.0960000000001, 48.04, 48.3036405644842, 48.1546946366348, 48.1520254456655, 47.7201700000001, 46.8647500000001, 45.5234100000001, 44.615895, 43.7083800000001, 43.0325568677499, 42.4454686746777, 41.9996400000001, 41.1420200000001, 40.6027218497582, 40.581151, 39.9643358973832, 39.7669900000001, 39.3360647925081, 
38.8, 38.7059416213601, 38.1137100000001, 37.7833900000001, 37.5517600000001, 36.8870044780956, 36.0088800773087, 35.7644148262655, 34.531477, 34.387577499013, 34.3484771782843, 34.078, 34.0277815775758, 33.7409092231245, 33.6212364312014, 33.0462246152039, 32.6047129925238, 32.559761067986, 32.5441688510247, 32.6123900000001, 32.72083, 32.52528, 32.0391400000001, 31.33472, 31.3419400000002, 31.3422200000001, 31.7548537181664, 31.75452, 31.3999500000001, 31.0838300000001, 30.64402, 30.12173, 29.5719600000001, 
29.2700000000001, 29.2552651499099, 29.139999999197, 29.1644427593722, 29.76, 29.7793000000001, 29.3807100000001, 29.2331225186818))"
Eumops perotis,USA,EUPER,Greater Bonneted Bat,802984001258.196,"list(c(-103.927427150147, -103.53, -102.94, -102.39934, -102.108056, -121.799988754676, -121.353581223661, -119.297118105794, -118.929532674608, -118.5198948228, -118.410602275898, -117.944, -117.295937691274, -117.179164588541, -117.061299067835, -116.847037771914, -115.99135, -114.72139, -114.815, -113.30498, -111.02361, -109.035, -108.24194, -108.24, -106.50759, -106.1429, -105.63159, -105.03737, -104.70575, -104.45697, -103.94, -103.927427150147, 29.2655067490978, 29.139999999197, 29.2, 29.888512, 
32.016435, 39.6256089452895, 36.447287517545, 34.3443647612519, 34.0647008421472, 34.0277815775758, 33.7409092231245, 33.6212364312014, 33.0462246152039, 32.6921420028039, 32.5972670857947, 32.55533688473, 32.6123900000001, 32.72083, 32.52528, 32.0391400000001, 31.33472, 31.3419400000002, 31.3422200000001, 31.7548537181664, 31.75452, 31.3999500000001, 31.0838300000001, 30.64402, 30.12173, 29.5719600000001, 29.2700000000001, 29.2655067490978))"
Nyctinomops femorosaccus,USA,NYFEM,Pocketed Free-tailed Bat,409119466510.112,"list(c(-102.425266476937, -102.319394, -102.32612, -107.656, -118.038601, -118.351854622057, -118.297234704704, -118.181993353486, -117.944, -117.295937691274, -117.198361671822, -117.083599970853, -116.706777663275, -115.99135, -114.72139, -114.815, -113.30498, -111.02361, -109.035, -108.24194, -108.24, -106.50759, -106.1429, -105.63159, -105.03737, -104.70575, -104.45697, -103.942624870035, -103.53, -102.94, -102.844480640383, -102.48, -102.425266476937, 29.7614493068346, 29.875914, 29.882998, 
35.164, 34.137381, 33.9569823226184, 33.7899264611421, 33.682537006949, 33.6212364312014, 33.0462246152039, 32.7505536730771, 32.6400156362248, 32.5650911640764, 32.6123900000001, 32.72083, 32.52528, 32.0391400000001, 31.33472, 31.3419400000002, 31.3422200000001, 31.7548537181664, 31.75452, 31.3999500000001, 31.0838300000001, 30.64402, 30.12173, 29.5719600000001, 29.2715427545889, 29.139999999197, 29.2, 29.3048083390568, 29.76, 29.7614493068346))"
Nyctinomops macrotis,USA,NYMAC,Big Free-tailed Bat,2863824866690.62,"list(c(-100.842931363299, -97.216003, -92.907997, -110.800764, -122.121939271902, -122.499250469381, -120.864533182985, -119.711227327789, -119.624682929482, -119.438840642017, -119.081, -118.5198948228, -118.410602275898, -117.944, -117.295937691274, -117.195715660235, -117.156389, -116.490928412298, -115.99135, -114.72139, -114.815, -113.30498, -111.02361, -109.035, -108.24194, -108.24, -106.50759, -106.1429, -105.63159, -105.03737, -104.70575, -104.45697, -103.950146014152, -103.53, -102.95746590751, 
-102.48, -101.6624, -100.9576, -100.842931363299, 29.2252236995668, 29.254999, 42.049389, 43.510762, 38.0117534920367, 37.5995524472124, 35.3275366202353, 34.4247405442218, 34.3687901003586, 34.3484771782843, 34.078, 34.0277815775758, 33.7409092231245, 33.6212364312014, 33.0462246152039, 32.7425072768279, 32.715278, 32.5797938801844, 32.6123900000001, 32.72083, 32.52528, 32.0391400000001, 31.33472, 31.3419400000002, 31.3422200000001, 31.7548537181664, 31.75452, 31.3999500000001, 31.0838300000001, 
30.64402, 30.12173, 29.5719600000001, 29.275962728548, 29.139999999197, 29.1626694078589, 29.76, 29.7793000000001, 29.3807100000001, 29.2252236995668))"
Mormoops megalophylla,USA,MOMEG,Peters's Ghost-faced Bat,440909261052.926,"list(list(c(-89.4583247356355, -106.363263627679, -106.1429, -105.63159, -105.03737, -104.70575, -104.45697, -103.94, -103.11, -102.48, -101.6624, -100.9576, -100.45584, -100.11, -99.5199999999999, -99.3, -99.2818019639025, -98.163, -97.3410396960146, -97.3799999999999, -97.3699999999999, -97.1399999999998, -96.5940399999999, -95.60026, -94.69, -93.8484199999999, -93.22637, -92.49906, -91.6267849999999, -90.8802249999999, -90.15463, -89.7792799999999, -89.4082299999999, -89.21767, -89.43, -89.4137349999999, 
-89.5938311784198, -89.4583247356355, 30.2113287134852, 31.6146449084365, 31.3999500000001, 31.0838300000001, 30.64402, 30.12173, 29.5719600000001, 29.2700000000001, 28.9700000000001, 29.76, 29.7793000000001, 29.3807100000001, 28.6961200000001, 28.1100000000001, 27.54, 26.8400000000001, 26.8095873529508, 26.302, 26.3163266230017, 26.6900000000001, 27.3800000000001, 27.8300000000001, 28.3074800000001, 28.7386300000001, 29.4800000000001, 29.7136300000001, 29.7837500000001, 29.5523, 29.6770000000001, 
29.1485350000001, 29.1174300000001, 29.3071400000001, 29.15961, 29.2910800000001, 29.48864, 29.89419, 30.1599940048369, 30.2113287134852)), list(c(-108.240578557487, -110.78962, -111.51667, -110.983290862602, -109.035, -108.24194, -108.240578557487, 31.6321776350398, 31.612012, 31.508059, 31.3351709485151, 31.3419400000002, 31.3422200000001, 31.6321776350398)), list(c(-81.3687987381128, -80.43, -80.31, -81.5, -82.9065262801317, -82.6499999999999, -82.85526, -82.7051499999999, -82.2399999999999, -81.7099999999998, 
-81.3687987381128, 25.663569489498, 25.57, 25.61, 28.76, 29.0541362874579, 28.5500000000002, 27.88624, 27.4950400000001, 26.7300000000001, 25.87, 25.663569489498)))"
Myotis thysanodes,USA,MYTHY,Fringed Myotis,3011642834349.12,"list(c(-104.020043965427, -103.147, -101.168999, -101.930195097078, -103.430778, -117.34096, -119.7, -120.333333, -121.89504, -122.401743983952, -122.34, -122.58736, -122.727323813322, -123.877048894929, -123.910857577875, -123.89893, -123.93255335945, -124.217006453573, -123.868995000303, -123.86517, -123.864283813853, -123.279449, -122.933045394427, -122.51201, -122.54747, -122.328453061997, -121.906892877798, -121.518660741216, -116.52, -115.682068341673, -114.72139, -114.815, -113.654306724766, 
-110.563078698909, -109.035, -108.24194, -108.24, -106.50759, -106.1429, -105.63159, -105.03737, -104.70575, -104.45697, -104.020043965427, 29.3170014503291, 29.016, 33.658001, 43.7554899243319, 44.412677, 48.7221, 48.7, 48.583333, 48.18604, 47.6795323528095, 47.36, 47.0960000000001, 47.347605015292, 46.1336106240955, 45.6139884643158, 45.5234100000001, 45.2753739024115, 40.4386534998174, 39.7709505206915, 39.7669900000001, 39.7618141795902, 38.607151, 38.0987278093571, 37.7833900000001, 37.5517600000001, 
37.1916425001307, 36.5441178125306, 36.0088800773087, 32.83, 32.6400018341789, 32.72083, 32.52528, 32.1536663628173, 31.3391204334287, 31.3419400000002, 31.3422200000001, 31.7548537181664, 31.75452, 31.3999500000001, 31.0838300000001, 30.64402, 30.12173, 29.5719600000001, 29.3170014503291))"
Lasionycteris noctivagans,USA,LANOC,Silver-haired Bat,7142528801887.72,"list(c(-92.0299651909994, -98.9978128870837, -99.9689029284845, -100.65, -104.04826, -107.05, -110.05, -113, -114.043575974477, -115.733, -118.819467355367, -122.124846049291, -122.436804403685, -122.34, -122.58736, -122.826500691138, -123.804257955544, -123.912578979687, -123.89893, -123.996312594033, -124.07, -124.109679394475, -124.061690866068, -122.85670093813, -118.165711233119, -117.944, -117.295937691274, -117.191879780574, -116.428733008502, -115.99135, -114.72139, -114.815, -113.30498, 
-111.834986950776, -110.782942306172, -109.035, -108.24194, -108.24, -106.50759, -106.1429, -105.63159, -105.03737, -104.70575, -104.470326325558, -103.299404, -102.892519127904, -102.48, -101.6624, -100.9576, -100.862875191827, -98.6575, -78.3284, -75.9266297302743, -75.9717999999999, -76.25874, -76.3016199999999, -76.9899979316135, -76.32933, -76.5427249999999, -76.3500000000001, -76.2328699999999, -75.7220499999998, -76.0312699999999, -75.94023, -75.3774699999999, -75.0567299999999, -75.0718347647898, 
-75.32, -75.52805, -75.2000199999999, -74.9804099999999, -74.9060399999999, -74.17838, -73.9624399999999, -74.25671, -73.9523249999999, -73.982, -73.3449999999999, -71.9449999999998, -72.2412599999999, -73.71, -72.87643, -72.295, -71.8599999999998, -71.12039, -70.64, -70.0453916967524, -69.959738, -69.9455318339773, -69.8849699999999, -70.185, -70.08, -70.4949999999999, -70.825, -70.8148899999999, -70.645475633411, -70.1161699999999, -69.0599999999999, -68.4733062163687, -68.253627, -68.678871, -71.0177460604901, 
-71.08482, -71.4049999999999, -71.5050599999999, -73.3478299999999, -74.867, -75.3182099999999, -76.3749999999999, -76.5, -76.8200341458056, -77.7378850979576, -78.7202799140424, -79.1716735501119, -79.0099999999999, -78.9199999999999, -78.9393621487437, -80.2474476793479, -81.2777465481671, -82.4392777167916, -82.6900892809202, -83.0298101468069, -83.1419996813126, -83.1199999999999, -82.8999999999999, -82.4299999999999, -82.137642381504, -82.3377631254311, -82.5509246487582, -83.5928507148431, 
-83.4695507473946, -83.6161309475905, -83.8907653470057, -84.0918512641615, -84.1421195136733, -84.3367, -84.6049000000001, -84.5437487454457, -84.7792382473998, -84.8760798815149, -85.6523632474032, -86.4619908312281, -87.1047250154435, -90.16419, -91.3877425356071, -91.6399999999999, -92.0299651909994, 48.2660619907302, 48.9446413496606, 49.0082050147125, 49.0000000000001, 48.9998600000001, 49.0000000000001, 49.0000000000001, 49.0000000000001, 49.0090400222376, 48.8933, 48.5539828579349, 48.1262551221305, 
47.8592350913547, 47.36, 47.0960000000001, 47.5243475682216, 46.6630084777251, 45.6270366447829, 45.5234100000001, 44.7989784618488, 44.05, 42.0358494653075, 40.7610324431653, 38.0864478152178, 33.6783604881884, 33.6212364312014, 33.0462246152039, 32.7308398682787, 32.5839610083061, 32.6123900000001, 32.72083, 32.52528, 32.0391400000001, 31.5911316458281, 31.3372247782497, 31.3419400000002, 31.3422200000001, 31.7548537181664, 31.75452, 31.3999500000001, 31.0838300000001, 30.64402, 30.12173, 29.601641304721, 
29.239167, 29.2444342823765, 29.76, 29.7793000000001, 29.3807100000001, 29.2523078330703, 29.226111, 34.4664, 36.7470242623009, 36.89726, 36.9664000000001, 37.917945, 38.2399917669134, 38.0832600000001, 38.7176150000001, 39.15, 38.319215, 37.9370500000001, 37.2566, 37.2168900000001, 38.0155100000001, 38.4041200000001, 38.7820322301793, 38.9600000000001, 39.4985000000001, 39.2484500000001, 39.1964000000001, 38.9395400000001, 39.70926, 40.42763, 40.4735100000001, 40.75075, 40.628, 40.6300000000001, 
40.9300000000001, 41.1194800000002, 40.9311023516545, 41.2206500000001, 41.27, 41.3200000000001, 41.4944500000002, 41.4750000000001, 41.6181114964271, 41.682056, 41.7069806161296, 41.9228300000001, 42.1450000000001, 41.7800000000001, 41.805, 42.335, 42.8653, 43.0902383489641, 43.6840500000002, 43.9800000000001, 44.1787318811121, 44.529244, 44.752873, 45.3298359169578, 45.3052400000002, 45.2550000000001, 45.0082000000001, 45.0073800000001, 45.0004800000001, 44.8164500000002, 44.09631, 44.0184588937586, 
43.6287842880937, 43.6290555893634, 43.625089423185, 43.4663394231843, 43.27, 42.965, 42.8636113551481, 42.3661998561227, 42.2090259873069, 41.6751050888673, 41.6751050888673, 41.832795722006, 41.975681057293, 42.0800000000001, 42.4300000000002, 42.9800000000001, 43.57108755144, 44.4400000000001, 45.3475165879055, 45.8168936224126, 45.9946863877126, 46.1169269882991, 46.1169269882991, 46.2754186061383, 46.5122258571157, 46.4087700000001, 46.4396, 46.5386841904492, 46.6371019557491, 46.9000833196824, 
47.2202188177305, 47.553338019392, 47.8090811654306, 48.00869, 48.1811670189327, 48.14, 48.2660619907302))"
Myotis californicus,USA,MYCAL,Californian Myotis,2806003272162.22,"list(c(-99.3112898846244, -98.165415, -105.072702, -108.05556, -116.945515912284, -122.637677217447, -122.774364844955, -122.5, -122.34, -122.58736, -123.12, -123.898851483407, -124.385200487409, -124.38804874939, -124.079635, -123.89893, -124.020535, -124.14214, -124.436947448303, -124.44, -124.409291876773, -124.2137, -124.17886, -124.204539580374, -124.0760683824, -123.996722365146, -123.86517, -123.792932680506, -123.716483754307, -123.528392384789, -123.387420489834, -122.95319, -122.51201, 
-122.54747, -122.362361262999, -121.423492141093, -120.09, -119.872021399152, -119.438840642017, -119.081, -118.5198948228, -118.410602275898, -117.944, -117.295937691274, -117.170514684388, -116.7424488798, -115.99135, -114.72139, -114.815, -113.30498, -111.02361, -109.035, -108.24194, -108.24, -106.50759, -106.1429, -105.63159, -105.03737, -104.70575, -104.45697, -103.94, -103.11, -102.48, -101.6624, -100.9576, -100.45584, -100.11, -99.5199999999999, -99.3112898846244, 26.8761444536877, 26.397579, 
40.607905, 44.48917, 48.6336675647666, 48.9172142829057, 48.8438461969142, 48.1800000000001, 47.36, 47.0960000000001, 48.04, 48.2257786416109, 47.9502979685361, 47.6998753251074, 46.8647500000001, 45.5234100000001, 44.615895, 43.7083800000001, 43.0001178146793, 42.68, 42.4716366283798, 41.9996400000001, 41.1420200000001, 41.04601316763, 40.1185103639979, 39.9028699500474, 39.7669900000001, 39.3425000656477, 39.1298430424375, 38.7665339233954, 38.5868414952079, 38.1137100000001, 37.7833900000001, 
37.5517600000001, 37.2476487289821, 35.9697668009739, 34.531389, 34.3953739725901, 34.3484771782843, 34.078, 34.0277815775758, 33.7409092231245, 33.6212364312014, 33.0462246152039, 32.6657966543526, 32.5626254060177, 32.6123900000001, 32.72083, 32.52528, 32.0391400000001, 31.33472, 31.3419400000002, 31.3422200000001, 31.7548537181664, 31.75452, 31.3999500000001, 31.0838300000001, 30.64402, 30.12173, 29.5719600000001, 29.2700000000001, 28.9700000000001, 29.76, 29.7793000000001, 29.3807100000001, 28.6961200000001, 
28.1100000000001, 27.54, 26.8761444536877))"
Myotis volans,USA,MYVOL,Long-legged Myotis,3579407751267.45,"list(c(-104.487022103418, -103.299404, -99.5661772173743, -100.845484247483, -102.081272721062, -108.599899220391, -110.05, -113, -114.041554637221, -116.67416, -122.522327698185, -122.5, -122.34, -122.58736, -123.12, -123.393110998292, -124.385200487409, -124.369812660922, -124.079635, -123.89893, -124.020535, -124.14214, -124.17818530808, -124.109679394475, -123.523252788823, -122.943072715709, -122.51201, -122.54747, -121.77667425943, -121.515858738755, -119.85, -119.679621158327, -119.438840642017, 
-119.176070672188, -119.000239554264, -118.5198948228, -118.438917386637, -118.111190048704, -117.944, -117.860719712757, -116.600099729924, -115.343268356684, -114.72139, -114.805546847909, -110.093024236543, -109.035, -108.24194, -108.24, -106.50759, -106.1429, -105.63159, -105.03737, -104.70575, -104.487022103418, 29.6387173258589, 29.239167, 33.7056284069715, 48.2660068534156, 48.6718079540527, 49.0097120545758, 49.0000000000001, 49.0000000000001, 49.0090316112219, 48.91667, 48.2347009300372, 
48.1800000000001, 47.36, 47.0960000000001, 48.04, 48.1058975226963, 47.9502979685361, 47.6512480719185, 46.8647500000001, 45.5234100000001, 44.615895, 43.7083800000001, 43.6227077777464, 42.0358494653075, 39.017552924879, 38.1061866485078, 37.7833900000001, 37.5517600000001, 36.2671436264998, 36.0140229697233, 34.45, 34.3747392975405, 34.3484771782843, 34.1501309033309, 34.0709327033017, 34.0277815775758, 33.8154255259423, 33.6643567828406, 33.6212364312014, 33.5479564856835, 32.949617487997, 32.6693597253507, 
32.72083, 32.5450694499107, 31.3419158666451, 31.3419400000002, 31.3422200000001, 31.7548537181664, 31.75452, 31.3999500000001, 31.0838300000001, 30.64402, 30.12173, 29.6387173258589))"
